A;SECTION A HUMAN NECESSITIES
A61K0031550000;having seven-membered rings, e.g. azelastine, pentylenetetrazole
A61K0031551000;having two nitrogens as ring hetero atoms, e.g. clozapine, dilazep
A61K0031551300;1,4-Benzodiazepines, e.g. diazepam
A61K0031551700;condensed with five-membered rings having nitrogen as a ring hetero atom, e.g. imidazobenzodiazepines, triazolam
A61K0031553000;having at least one nitrogen and at least one oxygen as ring hetero atoms, e.g. loxapine, staurosporine
A61K0031554000;having at least one nitrogen and at least one sulfur as ring hetero atoms, e.g. clothiapine, diltiazem
A61K0031555000;containing heavy metals, e.g. hemin, hematin, melarsoprol
A61K0031557000;Eicosanoids, e.g. leukotrienes
A61K0031557500;having a cyclopentane ring, e.g. prostaglandin E. 2, prostaglandin F2-alpha
A61K0031557800;having a pentalene ring system, e.g. carbacyclin, iloprost
A61K0031558000;having heterocyclic rings containing oxygen as the only ring hetero atom, e.g. thromboxanes
A61K0031558500;having five-membered rings containing oxygen as the only ring hetero atom, e.g. prostacyclin
A61K0031559000;having heterocyclic rings containing hetero atoms other than oxygen
A61K0031560000;Compounds containing cyclopenta[a]hydrophenanthrene ring systems. Derivatives thereof, e.g. steroids
A61K0031565000;not substituted in position 17 beta by a carbon atom, e.g. oestrane, oestradiol
A61K0031566000;having an oxo group in position 17, e.g. oestrone
A61K0031567000;substituted in position 17 alpha, e.g. mestranol, norethandrolone
A61K0031568000;substituted in positions 10 and 13 by a chain having at least one carbon atom, e.g. androstane, testosterone
A61K0031568500;having an oxo group in position 17, e.g. androsterone
A61K0031569000;substituted in position 17 alpha, e.g. ethisterone
A61K0031570000;substituted in position 17 beta by a chain of two carbon atoms, e.g. pregnane, progesterone
A61K0031573000;substituted in position 21, e.g. cortisone, dexamethasone, prednisone
A61K0031575000;substituted in position 17 beta by a chain of three or more carbon atoms, e.g. cholane, cholestane, ergosterol, sitosterol
A61K0031580000;containing heterocyclic rings, e.g. aldosterone, danazol, stanozolol, pancuronium, digitogenin (digitoxin A61K0031704000)
A61K0031585000;containing lactone rings, e.g. oxandrolone, bufalin
A61K0031590000;Compounds containing 9,10-seco-cyclopenta[a]hydro- phenanthrene ring systems
A61K0031592000;9,10-Secoergostane derivatives, e.g. ergocalciferol, vitamin D. 2
A61K0031593000;9,10-Secocholestane derivatives, e.g. cholecalciferol, vitamin D. 3
A61K0031600000;Salicylic acid. Derivatives thereof
A61K0031603000;having further aromatic rings, e.g. diflunisal
A61K0031606000;having amino groups
A61K0031609000;Amides, e.g. salicylamide
A61K0031612000;having the hydroxy group in position 2 esterified, e.g. salicylsulfuric acid (fosfosal A61K0031661000)
A61K0031616000;by carboxylic acids, e.g. acetylsalicylic acid
A61K0031618000;having the carboxyl group in position 1 esterified, e.g. salsalate
A61K0031621000;having the hydroxy group in position 2 esterified, e.g. benorylate
A61K0031625000;having heterocyclic substituents, e.g. 4-salicyloylmorpholine (sulfasalazine A61K0031635000)
A61K0031630000;Compounds containing para-N-benzene- sulfonyl-N-groups, e.g. sulfanilamide, p-nitrobenzenesulfonohydrazide
A61K0031635000;having a heterocyclic ring, e.g. sulfadiazine
A61K0031640000;Sulfonylureas, e.g. glibenclamide, tolbutamide, chlorpropamide
A61K0031650000;Tetracyclines
A61K0031655000;Azo (. NN), diazo (N2), azoxy (NON or N(O)N), azido (N3) or diazoamino (NNN) compounds
A61K0031660000;Phosphorus compounds
A61K0031661000;Phosphorus acids or esters thereof not having P. C bonds, e.g. fosfosal, dichlorvos, malathion
A61K0031661500;Compounds having two or more esterified phosphorus acid groups, e.g. inositol triphosphate, phytic acid
A61K0031662000;Phosphorus acids or esters thereof having P. C bonds, e.g. foscarnet, trichlorfon
A61K0031663000;Compounds having two or more phosphorus acid groups or esters thereof, e.g. clodronic acid, pamidronic acid
A61K0031664000;Amides of phosphorus acids
A61K0031665000;having oxygen as a ring hetero atom, e.g. fosfomycin
A61K0031670000;having sulfur as a ring hetero atom
A61K0031675000;having nitrogen as a ring hetero atom, e.g. pyridoxal phosphate
A61K0031683000;Diesters of a phosphorus acid with two hydroxy compounds, e.g. phosphatidylinositols
A61K0031685000;one of the hydroxy compounds having nitrogen atoms, e.g. phosphatidylserine, lecithin
A61K0031688000;both hydroxy compounds having nitrogen atoms, e.g. sphingomyelins
A61K0031690000;Boron compounds
A61K0031695000;Silicon compounds
A61K0031700000;Carbohydrates. Sugars. Derivatives thereof (sorbitol A61K0031047000)
A61K0031700400;Monosaccharides having only carbon, hydrogen and oxygen atoms
A61K0031700800;Compounds having an amino group directly attached to a carbon atom of the saccharide radical, e.g. D-galactosamine, ranimustine
A61K0031701200;Compounds having a free or esterified carboxyl group attached, directly or through a carbon chain, to a carbon atom of the saccharide radical, e.g. glucuronic acid, neuraminic acid (gluconic acid A61K0031191000. ascorbic acid A61K0031375000)
A61K0031701600;Disaccharides, e.g. lactose, lactulose (lactobionic acid A61K0031703200)
A61K0031702000;Oligosaccharides, i.e. having three to five saccharide radicals attached to each other by glycosidic linkages
A61K0031702400;Esters of saccharides
A61K0031702800;Compounds having saccharide radicals attached to non-saccharide compounds by glycosidic linkages
A61K0031703200;attached to a polyol, i.e. compounds having two or more free or esterified hydroxy groups, including the hydroxy group involved in the glycosidic linkage, e.g. monoglucosyl-diacylglycerides, lactobionic acid, gangliosides
A61K0031703400;attached to a carbocyclic compound, e.g. phloridzin
A61K0031703600;having at least one amino group directly attached to the carbocyclic ring, e.g. streptomycin, gentamycin, amikacin, validamycin, fortimicins
A61K0031704000;attached to a condensed carbocyclic ring system, e.g. sennosides, thiocolchicosides, escin, daunorubicin, digitoxin
A61K0031704200;Compounds having saccharide radicals and heterocyclic rings
A61K0031704800;having oxygen as a ring hetero atom, e.g. leucoglucosan, hesperidin, erythromycin, nystatin
A61K0031705200;having nitrogen as a ring hetero atom, e.g. nucleosides, nucleotides
A61K0031705600;containing five-membered rings with nitrogen as a ring hetero atom
A61K0031706000;containing six-membered rings with nitrogen as a ring hetero atom
A61K0031706400;containing condensed or non-condensed pyrimidines
A61K0031706800;having oxo groups directly attached to the pyrimidine ring, e.g. cytidine, cytidylic acid
A61K0031707200;having two oxo groups directly attached to the pyrimidine ring, e.g. uridine, uridylic acid, thymidine, zidovudine
A61K0031707600;containing purines, e.g. adenosine, adenylic acid
A61K0031708000;having oxo groups directly attached to the purine ring system, e.g. guanosine, guanylic acid
A61K0031708400;Compounds having two nucleosides or nucleotides, e.g. nicotinamide-adenine dinucleotide, flavine-adenine dinucleotide
A61K0031708800;Compounds having three or more nucleosides or nucleotides
A61K0031710500;Natural ribonucleic acids, i.e. containing only riboses attached to adenine, guanine, cytosine or uracil and having 3'-5' phosphodiester links
A61K0031711000;Natural deoxyribonucleic acids, i.e. containing only 2'-deoxyriboses attached to adenine, guanine, cytosine or thymine and having 3'-5' phosphodiester links
A61K0031711500;Nucleic acids or oligonucleotides having modified bases, i.e. other than adenine, guanine, cytosine, uracil or thymine
A61K0031712000;Nucleic acids or oligonucleotides having modified sugars, i.e. other than ribose or 2'-deoxyribose
A61K0031712500;Nucleic acids or oligonucleotides having modified internucleoside linkage, i.e. other than 3'-5' phosphodiesters
A61K0031713000;Double-stranded nucleic acids or oligonucleotides
A61K0031713500;Compounds containing heavy metals
A61K0031714000;Cobalamins, e.g. cyanocobalamin, vitamin B. 12
A61K0031715000;Polysaccharides, i.e. having more than five saccharide radicals attached to each other by glycosidic linkages. Derivatives thereof, e.g. ethers, esters
A61K0031716000;Glucans
A61K0031717000;Celluloses
A61K0031718000;Starch or degraded starch, e.g. amylose, amylopectin
A61K0031719000;Pullulans
A61K0031721000;Dextrans
A61K0031722000;Chitin. Chitosan
A61K0031723000;Xanthans
A61K0031724000;Cyclodextrins
A61K0031726000;Glycosaminoglycans, i.e. mucopolysaccharides (chondroitin sulfate, dermatan sulfate A61K0031737000)
A61K0031727000;Heparin. Heparan
A61K0031728000;Hyaluronic acid
A61K0031729000;Agar. Agarose. Agaropectin
A61K0031731000;Carrageenans
A61K0031732000;Pectin
A61K0031733000;Fructosans, e.g. inulin
A61K0031734000;Alginic acid
A61K0031736000;Glucomannans or galactomannans, e.g locust bean gum, guar gum
A61K0031737000;Sulfated polysaccharides, e.g. chondroitin sulfate, dermatan sulfate (A61K0031727000 takes precedence)..
A61K0031738000;Cross-linked polysaccharides
A61K0031739000;Lipopolysaccharides
A61K0031740000;Synthetic polymeric materials
A61K0031745000;Polymers of hydrocarbons
A61K0031750000;of ethene
A61K0031755000;Polymers containing halogen
A61K0031760000;of vinyl chloride
A61K0031765000;Polymers containing oxygen
A61K0031770000;of oxiranes
A61K0031775000;Phenolic resins
A61K0031780000;of acrylic acid or derivatives thereof
A61K0031785000;Polymers containing nitrogen
A61K0031787000;containing heterocyclic rings having nitrogen as a ring hetero atom
A61K0031790000;Polymers of vinyl pyrrolidone
A61K0031795000;Polymers containing sulfur
A61K0031800000;Polymers containing hetero atoms not provided for in groups . A61K0031755000-A61K0031795000
A61K0033000000;Medicinal preparations containing inorganic active ingredients
A61K0033020000;Ammonia. Compounds thereof
A61K0033040000;Sulfur, selenium or tellurium. Compounds thereof
A61K0033060000;Aluminium, calcium or magnesium. Compounds thereof
A61K0033080000;Oxides. Hydroxides
A61K0033100000;Carbonates. Bicarbonates
A61K0033120000;Magnesium silicate
A61K0033140000;Alkali metal chlorides. Alkaline earth metal chlorides
A61K0033160000;Fluorine compounds
A61K0033180000;Iodine. Compounds thereof
A61K0033200000;Elemental chlorine. Inorganic compounds releasing chlorine
A61K0033220000;Boron compounds
A61K0033240000;Heavy metals. Compounds thereof
A61K0033260000;Iron. Compounds thereof
A61K0033280000;Mercury. Compounds thereof
A61K0033300000;Zinc. Compounds thereof
A61K0033320000;Manganese. Compounds thereof
A61K0033340000;Copper. Compounds thereof
A61K0033360000;Arsenic. Compounds thereof
A61K0033380000;Silver. Compounds thereof
A61K0033400000;Peroxides
A61K0033420000;Phosphorus. Compounds thereof
A61K0033440000;Elemental carbon, e.g. charcoal, carbon black
A61K0035000000;Medicinal preparations containing materials or reaction products thereof with undetermined constitution
A61K0035020000;from inanimate materials (carbon A61K0033440000)
A61K0035040000;Tars. Bitumens. Mineral oils. Ammonium bituminosulfonate
A61K0035060000;Mineral oils, e.g. paraffinic oils or aromatic oils based on aromatic hydrocarbons
A61K0035080000;Mineral waters. Seawater
A61K0035100000;Peat. Amber. Turf. Humus
A61K0035120000;Materials from mammals. Compositions comprising non-specified tissues or cells. Compositions comprising non-embryonic stem cells. Genetically modified cells (uncharacterised stem cells A61K0035545000. vaccines or medicinal preparations containing antigens or antibodies A61K0039000000)
A61K0035130000;Tumour cells, irrespective of tissue of origin (tumour vaccines A61K0039000000)
A61K0035140000;Blood. Artificial blood (perfluorocarbons A61K0031020000. umbilical cord blood A61K0035510000. haemoglobin A61K0038420000)
A61K0035150000;Cells of the myeloid line, e.g. granulocytes, basophils, eosinophils, neutrophils, leucocytes, monocytes, macrophages or mast cells. Myeloid precursor cells. Antigen-presenting cells, e.g. dendritic cells (presenting a specific antigen A61K0039000000. therapeutic combinations of antibodies, or fragments thereof, and blood-derived cells A61K0039000000)
A61K0035160000;Blood plasma. Blood serum (umbilical cord blood A61K0035510000)
A61K0035170000;Lymphocytes. B-cells. T-cells. Natural killer cells. Interferon-activated or cytokine-activated lymphocytes (when activated by a specific antigen A61K0039000000)
A61K0035180000;Erythrocytes (haemoglobin A61K0038420000)
A61K0035190000;Platelets. Megacaryocytes
A61K0035200000;Milk. Whey. Colostrum
A61K0035220000;Urine. Urinary tract, e.g. kidney or bladder. Intraglomerular mesangial cells. Renal mesenchymal cells. Adrenal gland
A61K0035240000;Mucus. Mucous glands. Bursa. Synovial fluid. Arthral fluid. Excreta. Spinal fluid (saliva A61K0035380000)
A61K0035260000;Lymph. Lymph nodes. Thymus. Spleen. Splenocytes. Thymocytes
A61K0035280000;Bone marrow. Haematopoietic stem cells. Mesenchymal stem cells of any origin, e.g. adipose-derived stem cells
A61K0035300000;Nerves. Brain. Eyes. Corneal cells. Cerebrospinal fluid. Neuronal stem cells. Neuronal precursor cells. Glial cells. Oligodendrocytes. Schwann cells. Astroglia. Astrocytes. Choroid plexus. Spinal cord tissue
A61K0035320000;Bones. Osteocytes. Osteoblasts. Tendons. Tenocytes. Teeth. Odontoblasts. Cartilage. Chondrocytes. Synovial membrane
A61K0035330000;Fibroblasts
A61K0035340000;Muscles. Smooth muscle cells. Heart. Cardiac stem cells. Myoblasts. Myocytes. Cardiomyocytes (vascular smooth muscle A61K0035440000)
A61K0035350000;Fat tissue. Adipocytes. Stromal cells. Connective tissues  (adipose-derived stem cells A61K0035280000. collagen A61K0038390000)
A61K0035360000;Skin. Hair. Nails. Sebaceous glands. Cerumen. Epidermis. Epithelial cells. Keratinocytes. Langerhans cells. Ectodermal cells (islets of Langerhans A61K0035390000)
A61K0035370000;Digestive system
A61K0035380000;Stomach. Intestine. Goblet cells. Oral mucosa. Saliva
A61K0035390000;Pancreas. Islets of Langerhans (Langerhans cells of epidermis A61K0035360000)
A61K0035407000;Liver. Hepatocytes
A61K0035413000;Gall bladder. Bile
A61K0035420000;Respiratory system, e.g. lungs, bronchi or lung cells
A61K0035440000;Vessels. Vascular smooth muscle cells. Endothelial cells. Endothelial progenitor cells
A61K0035480000;Reproductive organs
A61K0035500000;Placenta. Placental stem cells. Amniotic fluid. Amnion. Amniotic stem cells
A61K0035510000;Umbilical cord. Umbilical cord blood. Umbilical stem cells
A61K0035520000;Sperm. Prostate. Seminal fluid. Leydig cells of testes
A61K0035540000;Ovaries. Ova. Ovules. Embryos. Foetal cells. Germ cells
A61K0035545000;Embryonic stem cells. Pluripotent stem cells. Induced pluripotent stem cells. Uncharacterised stem cells
A61K0035550000;Glands not provided for in groups . A61K0035220000-A61K0035545000, e.g. thyroids, parathyroids or pineal glands
A61K0035560000;Materials from animals other than mammals
A61K0035570000;Birds. Materials from birds, e.g. eggs, feathers, egg white, egg yolk or endothelium corneum gigeriae galli
A61K0035580000;Reptiles (antigens from snakes A61K0039380000)
A61K0035583000;Snakes. Lizards, e.g. chameleons (therapeutic use of a snake venom protein A61K0038000000)
A61K0035586000;Turtles. Tortoises, e.g. terrapins
A61K0035600000;Fish, e.g. seahorses. Fish eggs
A61K0035612000;Crustaceans, e.g. crabs, lobsters, shrimps, krill or crayfish. Barnacles
A61K0035614000;Cnidaria, e.g. sea anemones, corals, coral animals or jellyfish
A61K0035616000;Echinodermata, e.g. starfish, sea cucumbers or sea urchins
A61K0035618000;Molluscs, e.g. fresh-water molluscs, oysters, clams, squids, octopus, cuttlefish, snails or slugs
A61K0035620000;Leeches. Worms, e.g. cestodes, tapeworms, nematodes, roundworms, earth worms, ascarids, filarias, hookworms, trichinella or taenia
A61K0035630000;Arthropods (aquatic crustaceans A61K0035612000)
A61K0035640000;Insects, e.g. bees, wasps or fleas
A61K0035644000;Beeswax. Propolis. Royal jelly. Honey
A61K0035646000;Arachnids, e.g. spiders, scorpions, ticks or mites
A61K0035648000;Myriapods, e.g. centipedes or millipedes
A61K0035650000;Amphibians, e.g. toads, frogs, salamanders or newts
A61K0035655000;Aquatic animals other than those covered by groups . A61K0035570000-A61K0035650000
A61K0035660000;Micro-organisms or materials therefrom (fungi, yeasts or candida A61K0036060000)
A61K0035680000;Protozoa, e.g. flagella, amoebas, sporozoans, plasmodium or toxoplasma
A61K0035740000;Bacteria (therapeutic use of a bacterial protein A61K0038000000)
A61K0035741000;Probiotics (probiotic yeast, e.g. saccharomyces A61K0036060000)
A61K0035742000;Spore-forming bacteria, e.g. Bacillus coagulans, Bacillus subtilis, clostridium or Lactobacillus sporogenes
A61K0035744000;Lactic acid bacteria, e.g. enterococci, pediococci, lactococci, streptococci or leuconostocs
A61K0035745000;Bifidobacteria
A61K0035747000;Lactobacilli, e.g. L. acidophilus or L. brevis
A61K0035748000;Cyanobacteria, i.e. blue-green bacteria or blue-green algae, e.g. spirulina (algae, microalgae or microphytes A61K0036020000)
A61K0035760000;Viruses. Subviral particles. Bacteriophages
A61K0035761000;Adenovirus
A61K0035763000;Herpes virus
A61K0035765000;Reovirus. Rotavirus
A61K0035766000;Rhabdovirus, e.g. vesicular stomatitis virus
A61K0035768000;Oncolytic viruses not provided for in groups . A61K0035761000-A61K0035766000
A61K0036000000;Medicinal preparations of undetermined constitution containing material from algae, lichens, fungi or plants, or derivatives thereof, e.g. traditional herbal medicines
A61K0036020000;Algae
A61K0036030000;Phaeophycota or phaeophyta (brown algae), e.g. Fucus
A61K0036040000;Rhodophycota or rhodophyta (red algae), e.g. Porphyra
A61K0036050000;Chlorophycota or chlorophyta (green algae), e.g. Chlorella
A61K0036060000;Fungi, e.g. yeasts
A61K0036062000;Ascomycota
A61K0036064000;Saccharomycetales, e.g. baker's yeast
A61K0036066000;Clavicipitaceae
A61K0036068000;Cordyceps
A61K0036070000;Basidiomycota, e.g. Cryptococcus
A61K0036074000;Ganoderma
A61K0036076000;Poria
A61K0036090000;Lichens
A61K0036100000;Bryophyta (mosses)
A61K0036110000;Pteridophyta or Filicophyta (ferns)
A61K0036120000;Filicopsida or Pteridopsida
A61K0036126000;Drynaria
A61K0036130000;Coniferophyta (gymnosperms)
A61K0036140000;Cupressaceae (Cypress family), e.g. juniper or cypress
A61K0036150000;Pinaceae (Pine family), e.g. pine or cedar
A61K0036160000;Ginkgophyta, e.g. Ginkgoaceae (Ginkgo family)
A61K0036170000;Gnetophyta, e.g. Ephedraceae (Mormon-tea family)
A61K0036180000;Magnoliophyta (angiosperms)
A61K0036185000;Magnoliopsida (dicotyledons)
A61K0036190000;Acanthaceae (Acanthus family)
A61K0036195000;Strobilanthes
A61K0036200000;Aceraceae (Maple family)
A61K0036210000;Amaranthaceae (Amaranth family), e.g. pigweed, rockwort or globe amaranth
A61K0036220000;Anacardiaceae (Sumac family), e.g. smoketree, sumac or poison oak
A61K0036230000;Apiaceae or Umbelliferae (Carrot family), e.g. dill, chervil, coriander or cumin
A61K0036232000;Angelica
A61K0036233000;Bupleurum
A61K0036234000;Cnidium (snowparsley)
A61K0036235000;Foeniculum (fennel)
A61K0036236000;Ligusticum (licorice-root)
A61K0036237000;Notopterygium
A61K0036238000;Saposhnikovia
A61K0036240000;Apocynaceae (Dogbane family), e.g. plumeria or periwinkle
A61K0036250000;Araliaceae (Ginseng family), e.g. ivy, aralia, schefflera or tetrapanax
A61K0036254000;Acanthopanax or Eleutherococcus
A61K0036258000;Panax (ginseng)
A61K0036260000;Aristolochiaceae (Birthwort family), e.g. heartleaf
A61K0036264000;Aristolochia (Dutchman's pipe)
A61K0036268000;Asarum (wild ginger)
A61K0036270000;Asclepiadaceae (Milkweed family), e.g. hoya
A61K0036280000;Asteraceae or Compositae (Aster or Sunflower family), e.g. chamomile, feverfew, yarrow or echinacea
A61K0036282000;Artemisia, e.g. wormwood or sagebrush
A61K0036284000;Atractylodes
A61K0036285000;Aucklandia
A61K0036286000;Carthamus (distaff thistle)
A61K0036287000;Chrysanthemum, e.g. daisy
A61K0036288000;Taraxacum (dandelion)
A61K0036289000;Vladimiria
A61K0036290000;Berberidaceae (Barberry family), e.g. barberry, cohosh or mayapple
A61K0036296000;Epimedium
A61K0036300000;Boraginaceae (Borage family), e.g. comfrey, lungwort or forget-me-not
A61K0036310000;Brassicaceae or Cruciferae (Mustard family), e.g. broccoli, cabbage or kohlrabi
A61K0036315000;Isatis, e.g. Dyer's woad
A61K0036320000;Burseraceae (Frankincense family)
A61K0036324000;Boswellia, e.g. frankincense
A61K0036328000;Commiphora, e.g. mecca myrrh or balm of Gilead
A61K0036330000;Cactaceae (Cactus family), e.g. pricklypear or Cereus
A61K0036340000;Campanulaceae (Bellflower family)
A61K0036342000;Adenophora
A61K0036344000;Codonopsis
A61K0036346000;Platycodon
A61K0036350000;Caprifoliaceae (Honeysuckle family)
A61K0036355000;Lonicera (honeysuckle)
A61K0036360000;Caryophyllaceae (Pink family), e.g. babysbreath or soapwort
A61K0036370000;Celastraceae (Staff-tree or Bittersweet family), e.g. tripterygium or spindletree
A61K0036380000;Clusiaceae, Hypericaceae or Guttiferae (Hypericum or Mangosteen family), e.g. common St. Johnswort
A61K0036390000;Convolvulaceae (Morning-glory family), e.g. bindweed
A61K0036400000;Cornaceae (Dogwood family)
A61K0036410000;Crassulaceae (Stonecrop family)
A61K0036420000;Cucurbitaceae (Cucumber family)
A61K0036424000;Gynostemma
A61K0036428000;Trichosanthes
A61K0036430000;Cuscutaceae (Dodder family), e.g. Cuscuta epithymum or greater dodder
A61K0036440000;Ebenaceae (Ebony family), e.g. persimmon
A61K0036450000;Ericaceae or Vacciniaceae (Heath or Blueberry family), e.g. blueberry, cranberry or bilberry
A61K0036460000;Eucommiaceae (Eucommia family), e.g. hardy rubber tree
A61K0036470000;Euphorbiaceae (Spurge family), e.g. Ricinus (castorbean)
A61K0036480000;Fabaceae or Leguminosae (Pea or Legume family). Caesalpiniaceae. Mimosaceae. Papilionaceae
A61K0036481000;Astragalus (milkvetch)
A61K0036482000;Cassia, e.g. golden shower tree
A61K0036483000;Gleditsia (locust)
A61K0036484000;Glycyrrhiza (licorice)
A61K0036485000;Gueldenstaedtia
A61K0036486000;Millettia
A61K0036487000;Psoralea
A61K0036488000;Pueraria (kudzu)
A61K0036489000;Sophora, e.g. necklacepod or mamani
A61K0036490000;Fagaceae (Beech family), e.g. oak or chestnut
A61K0036500000;Fumariaceae (Fumitory family), e.g. bleeding heart
A61K0036505000;Corydalis
A61K0036510000;Gentianaceae (Gentian family)
A61K0036515000;Gentiana
A61K0036520000;Juglandaceae (Walnut family)
A61K0036530000;Lamiaceae or Labiatae (Mint family), e.g. thyme, rosemary or lavender
A61K0036532000;Agastache, e.g. giant hyssop
A61K0036533000;Leonurus (motherwort)
A61K0036534000;Mentha (mint)
A61K0036535000;Perilla (beefsteak plant)
A61K0036536000;Prunella or Brunella (selfheal)
A61K0036537000;Salvia (sage)
A61K0036538000;Schizonepeta
A61K0036539000;Scutellaria (skullcap)
A61K0036540000;Lauraceae (Laurel family), e.g. cinnamon or sassafras
A61K0036550000;Linaceae (Flax family), e.g. Linum
A61K0036560000;Loganiaceae (Logania family), e.g. trumpetflower or pinkroot
A61K0036570000;Magnoliaceae (Magnolia family)
A61K0036575000;Magnolia
A61K0036580000;Meliaceae (Chinaberry or Mahogany family), e.g. Azadirachta (neem)
A61K0036590000;Menispermaceae (Moonseed family), e.g. hyperbaena or coralbead
A61K0036600000;Moraceae (Mulberry family), e.g. breadfruit or fig
A61K0036605000;Morus (mulberry)
A61K0036610000;Myrtaceae (Myrtle family), e.g. teatree or eucalyptus
A61K0036620000;Nymphaeaceae (Water-lily family)
A61K0036630000;Oleaceae (Olive family), e.g. jasmine, lilac or ash tree
A61K0036634000;Forsythia
A61K0036638000;Ligustrum, e.g. Chinese privet
A61K0036640000;Orobanchaceae (Broom-rape family)
A61K0036650000;Paeoniaceae (Peony family), e.g. Chinese peony
A61K0036660000;Papaveraceae (Poppy family), e.g. bloodroot
A61K0036670000;Piperaceae (Pepper family), e.g. Jamaican pepper or kava
A61K0036680000;Plantaginaceae (Plantain Family)
A61K0036690000;Polygalaceae (Milkwort family)
A61K0036700000;Polygonaceae (Buckwheat family), e.g. spineflower or dock
A61K0036704000;Polygonum, e.g. knotweed
A61K0036708000;Rheum (rhubarb)
A61K0036710000;Ranunculaceae (Buttercup family), e.g. larkspur, hepatica, hydrastis, columbine or goldenseal
A61K0036714000;Aconitum (monkshood)
A61K0036716000;Clematis (leather flower)
A61K0036718000;Coptis (goldthread)
A61K0036720000;Rhamnaceae (Buckthorn family), e.g. buckthorn, chewstick or umbrella-tree
A61K0036725000;Ziziphus, e.g. jujube
A61K0036730000;Rosaceae (Rose family), e.g. strawberry, chokeberry, blackberry, pear or firethorn
A61K0036732000;Chaenomeles, e.g. flowering quince
A61K0036734000;Crataegus (hawthorn)
A61K0036736000;Prunus, e.g. plum, cherry, peach, apricot or almond
A61K0036738000;Rosa (rose)
A61K0036739000;Sanguisorba (burnet)
A61K0036740000;Rubiaceae (Madder family)
A61K0036744000;Gardenia
A61K0036746000;Morinda
A61K0036748000;Oldenlandia or Hedyotis
A61K0036750000;Rutaceae (Rue family)
A61K0036752000;Citrus, e.g. lime, orange or lemon
A61K0036754000;Evodia
A61K0036756000;Phellodendron, e.g. corktree
A61K0036758000;Zanthoxylum, e.g. pricklyash
A61K0036760000;Salicaceae (Willow family), e.g. poplar
A61K0036770000;Sapindaceae (Soapberry family), e.g. lychee or soapberry
A61K0036780000;Saururaceae (Lizard's-tail family)
A61K0036790000;Schisandraceae (Schisandra family)
A61K0036800000;Scrophulariaceae (Figwort family)
A61K0036804000;Rehmannia
A61K0036808000;Scrophularia (figwort)
A61K0036810000;Solanaceae (Potato family), e.g. tobacco, nightshade, tomato, belladonna, capsicum or jimsonweed
A61K0036815000;Lycium (desert-thorn)
A61K0036820000;Theaceae (Tea family), e.g. camellia
A61K0036830000;Thymelaeaceae (Mezereum family), e.g. leatherwood or false ohelo
A61K0036835000;Aquilaria
A61K0036840000;Valerianaceae (Valerian family), e.g. valerian
A61K0036850000;Verbenaceae (Verbena family)
A61K0036855000;Clerodendrum, e.g. glorybower
A61K0036860000;Violaceae (Violet family)
A61K0036870000;Vitaceae or Ampelidaceae (Vine or Grape family), e.g. wine grapes, muscadine or peppervine
A61K0036880000;Liliopsida (monocotyledons)
A61K0036882000;Acoraceae (Calamus family), e.g. sweetflag or Acorus calamus
A61K0036884000;Alismataceae (Water-plantain family)
A61K0036886000;Aloeaceae (Aloe family), e.g. aloe vera
A61K0036888000;Araceae (Arum family), e.g. caladium, calla lily or skunk cabbage
A61K0036888400;Arisaema, e.g. Jack in the pulpit
A61K0036888800;Pinellia
A61K0036889000;Arecaceae, Palmae or Palmaceae (Palm family), e.g. date or coconut palm or palmetto
A61K0036889500;Calamus, e.g. rattan
A61K0036890000;Cyperaceae (Sedge family)
A61K0036890500;Cyperus (flatsedge)
A61K0036894000;Dioscoreaceae (Yam family)
A61K0036894500;Dioscorea, e.g. yam, Chinese yam or water yam
A61K0036896000;Liliaceae (Lily family), e.g. daylily, plantain lily, Hyacinth or narcissus
A61K0036896200;Allium, e.g. garden onion, leek, garlic or chives
A61K0036896400;Anemarrhena
A61K0036896500;Asparagus, e.g. garden asparagus or asparagus fern
A61K0036896600;Fritillaria, e.g. checker lily or mission bells
A61K0036896700;Lilium, e.g. tiger lily or Easter lily
A61K0036896800;Ophiopogon (Lilyturf)
A61K0036896900;Polygonatum (Solomon's seal)
A61K0036898000;Orchidaceae (Orchid family)
A61K0036898400;Dendrobium
A61K0036898800;Gastrodia
A61K0036899000;Poaceae or Gramineae (Grass family), e.g. bamboo, corn or sugar cane
A61K0036899400;Coix (Job's tears)
A61K0036899800;Hordeum (barley)
A61K0036900000;Smilacaceae (Catbrier family), e.g. greenbrier or sarsaparilla
A61K0036902000;Sparganiaceae (Bur-reed family)
A61K0036904000;Stemonaceae (Stemona family), e.g. croomia
A61K0036906000;Zingiberaceae (Ginger family)
A61K0036906200;Alpinia, e.g. red ginger or galangal
A61K0036906400;Amomum, e.g. round cardamom
A61K0036906600;Curcuma, e.g. common turmeric, East Indian arrowroot or mango ginger
A61K0036906800;Zingiber, e.g. garden ginger
A61K0038000000;Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K0031000000. cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K0031000000. ergoline-based peptides A61K0031480000. containing macromolecular compounds having statistically distributed amino acid units A61K0031740000. medicinal preparations containing antigens or antibodies A61K0039000000. medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K0047000000)
A61K0038010000;Hydrolysed proteins. Derivatives thereof
