D;SECTION D TEXTILESPAPER
D04C0003260000;by stopping bobbin heads
D04C0003280000;by stopping only the spool carrier
D04C0003300000;by controlling switches of guides or track plates
D04C0003320000;Pattern input
D04C0003340000;Beater or beat-up mechanisms
D04C0003360000;Frames
D04C0003380000;Driving-gear. Starting or stopping mechanisms
D04C0003400000;for making tubular braids by circulating strand supplies around braiding centre at equal distances
D04C0003420000;with means for forming sheds by controlling guides for individual threads
D04C0003440000;with means for forming sheds by subsequently diverting various threads using the same guiding means
D04C0003460000;with thread carriers supported on rolls
D04C0003480000;Auxiliary devices
D04C0005000000;Twist or bobbin-net lace-making machines (bobbins B65H0075020000)
D04C0005020000;Net looms for tulle fabrics
D04C0005040000;Net or lace curtain machines
D04C0005060000;Machines for making twist-lace fabrics
D04C0005080000;Bobbin carriages
D04C0005100000;Bobbin-carriage guides. Drives for swinging bobbin carriages
D04C0005120000;Drives for advancing bobbin carriages
D04C0005140000;Pattern input
D04C0005160000;Warp thread feeding or guiding devices
D04C0005180000;Guide bars. Guiding means therefor. Pattern input by control thereof
D04C0005200000;Jacks or pickers. Pattern input by control thereof
D04C0005220000;Delivery devices
D04C0005240000;Driving-gear. Starting or stopping mechanisms
D04C0005260000;Auxiliary devices
D04C0007000000;Tools or apparatus for braiding or lacing by hand
D04D;TRIMMINGS. RIBBONS, TAPES, OR BANDS, NOT OTHERWISE PROVIDED FOR (fittings or trimmings for hats, e.g. hat bands, A42C0005000000. decorating art B44. yarns or threads D02G. weaving D03. braid or lace D04C. non-woven fabrics D04H)
D04D0001000000;Ropes or like decorative or ornamental elongated trimmings made from filamentary material (ropes or cords in general D07B)
D04D0001020000;by twisting strands around centrally arranged cores
D04D0001040000;by threading or stringing pearls or beads on filamentary material
D04D0003000000;Chenille trimmings (chenille yarns D02G. making chenille trimmings by weaving D03D)
D04D0005000000;Fringes (tasselled D04D0007080000)
D04D0007000000;Decorative or ornamental textile articles
D04D0007020000;Flat articles
D04D0007040000;Three-dimensional articles (ornamental buttons A44B0001040000)
D04D0007060000;Ball-like tufts, e.g. pompons
D04D0007080000;Tassels or tasselled fringes
D04D0007100000;Decorative bow structures (neckties with ready-made knots or bows A41D0025020000)
D04D0009000000;Ribbons, tapes, welts, bands, beadings, or other decorative or ornamental strips, not otherwise provided for (made by laminating B32B. binders for packaging purposes B65D. adhesive tape C09J0007020000. made by weaving D03. made by braiding D04C)
D04D0009020000;made by lengthwise folding of fabric strip
D04D0009040000;built-up from several strips or elements
D04D0009060000;made by working plastics
D04D0011000000;Ribbon-threading apparatus or devices (needles D05B)
D04G;MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL. MAKING KNOTTED CARPETS OR TAPESTRIES. KNOTTING NOT OTHERWISE PROVIDED FOR (binding knotters for harvesters A01D0059040000. wire netting B21F. tying articles by knotting B65B. knotting in association with winding or unwinding B65H0069000000. knotting in weaving D03J. making nets, carpets, or tapestries by other techniques, see the relevant subclasses).
D04G0001000000;Making nets by knotting of filamentary material
D04G0001020000;in machines
D04G0001040000;using a single thread
D04G0001060000;using a single thread and a series of threads
D04G0001080000;using two series of threads
D04G0003000000;Making knotted carpets or tapestries
D04G0003020000;by hand. Tools therefor
D04G0003040000;in machines
D04G0005000000;Knotting not otherwise provided for
D04H;MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL (weaving D03. knitting D04B. braiding D04C. net-making D04G. sewing D05B. tufting D05C. finishing non-woven fabrics D06). FABRICS MADE BY SUCH PROCESSES OR APPARATUS, e.g. FELTS, NON-WOVEN FABRICS. COTTON-WOOL. WADDING (non-woven fabrics having an intermediate or external layer of a different kind, e.g. of woven fabric, B32B)
D04H0001000000;Kinds or types of non-woven fabrics. Apparatus or processes for making such products
D04H0001000000;Non-woven fabrics formed wholly or mainly of staple fibres or like relatively short fibres
D04H0001020000;Cotton wool. Wadding
D04H0001040000;from fleeces or layers composed of fibres having existing or potential cohesive properties, e.g. natural fibres, prestretched or fibrillated man-made fibres (felting apparatus D04H0017000000)
D04H0001060000;by treatment to produce shrinking, swelling, crimping or curling of fibres
D04H0001067000;Regenerated cellulose series
D04H0001073000;Acrylonitrile series
D04H0001080000;and hardened by felting. Felts or felted products
D04H0001090000;Silk
D04H0001100000;Felts made from mixtures of fibres
D04H0001120000;and incorporating man-made organic fibres
D04H0001140000;and incorporating inorganic fibres
D04H0001160000;Laminated felts in which the separate layers are united by a felting process
D04H0001200000;Felts incorporating inserts or attachments, e.g. for ornamental purposes
D04H0001220000;Three-dimensional articles formed by felting processes
D04H0001240000;Covers felted on to three-dimensional articles
D04H0001260000;Wood pulp
D04H0001280000;Regenerated cellulose series
D04H0001300000;Collagen
D04H0001320000;Synthetic pulp
D04H0001400000;from fleeces or layers composed of fibres without existing or potential cohesive properties
D04H0001407000;containing absorbing substances, e.g. activated carbon
D04H0001413000;containing granules other than absorbent substances
D04H0001420000;characterised by the use of certain kinds of fibres insofar as this use has no preponderant influence on the consolidation of the fleece
D04H0001420900;Inorganic fibres
D04H0001421800;Glass fibres
D04H0001422600;characterised by the apparatus for manufacturing the glass fleece
D04H0001423400;Metal fibres
D04H0001424200;Carbon fibres
D04H0001425000;Cellulose series
D04H0001425800;Regenerated cellulose series
D04H0001426600;Natural fibres not provided for in group . D04H0001425000.  
D04H0001427400;Rags. Fabric scraps
D04H0001428200;Addition polymers
D04H0001429100;Olefin series
D04H0001430000;Acrylonitrile series
D04H0001430900;Polyvinyl alcohol
D04H0001431800;Fluorine series
D04H0001432600;Condensation or reaction polymers
D04H0001433400;Polyamides
D04H0001434200;Aromatic polyamides
D04H0001435000;Polyesters
D04H0001435800;Polyurethanes
D04H0001436600;Phenol series
D04H0001437400;using different kinds of webs, e.g. by layering webs
D04H0001438200;Stretched reticular film fibres. Composite fibres. Mixed fibres. Ultrafine fibres. Fibres for artificial leather
D04H0001439100;characterised by the shape of the fibres
D04H0001440000;the fleeces or layers being consolidated by mechanical means, e.g. by rolling
D04H0001450000;by forming intermeshing loops or stitches from some of the fibres
D04H0001460000;by needling or like operations to cause entanglement of fibres (D04H0001450000 takes precedence.needling machines D04H0018000000)
D04H0001480000;in combination with at least one other method of consolidation
D04H0001482000;in combination with shrinkage
D04H0001485000;in combination with weld-bonding
D04H0001488000;in combination with bonding agents
D04H0001490000;entanglement by fluid jet in combination with another consolidation means
D04H0001492000;by fluid jet (D04H0001490000 takes precedence)..
D04H0001495000;for formation of patterns, e.g. drilling or rearrangement
D04H0001498000;entanglement of layered webs
D04H0001500000;by treatment to produce shrinking, swelling, crimping or curling of fibres (in combination with needling D04H0001482000)
D04H0001520000;by applying or inserting filamentary binding elements
D04H0001540000;by welding together the fibres, e.g. by partially melting or dissolving (in combination with needling D04H0001485000)
D04H0001541000;Composite fibres e.g. sheath-core, sea-island or side-by-side. Mixed fibres
D04H0001542000;Adhesive fibres
D04H0001544000;Olefin series
D04H0001545000;Polyvinyl alcohol
D04H0001546000;Polyvinyl acetate
D04H0001548000;Acrylonitrile series
D04H0001549000;Polyamides
D04H0001550000;Polyesters
D04H0001551000;Resins thereof not provided for in groups . D04H0001544000-D04H0001550000
D04H0001552000;by applying solvents or auxiliary agents 
D04H0001554000;by radio-frequency heating
D04H0001555000;by ultrasonic heating
D04H0001556000;by infrared heating
D04H0001558000;in combination with mechanical or physical treatments other than embossing
D04H0001559000;the fibres being within layered webs 
D04H0001560000;in association with fibre formation, e.g. immediately following extrusion of staple fibres
D04H0001580000;by applying, incorporating or activating chemical or thermoplastic bonding agents, e.g. adhesives (in combination with needling D04H0001488000)
D04H0001587000;characterised by the bonding agents used
D04H0001593000;to layered webs 
D04H0001600000;the bonding agent being applied in dry state, e.g. thermo-activatable agents in solid or molten state, and heat being applied subsequently
D04H0001620000;at spaced points or locations
D04H0001640000;the bonding agent being applied in wet state, e.g. chemical agents in dispersions or solutions
D04H0001645000;Impregnation followed by a solidification process
D04H0001650000;using mixed or composite fibres
D04H0001655000;characterised by the apparatus for applying bonding agents
D04H0001660000;at spaced points or locations (D04H0001680000 takes precedence)..
D04H0001680000;the bonding agent being applied in the form of foam
D04H0001700000;characterised by the method of forming fleeces or layers, e.g. reorientation of fibres
D04H0001720000;the fibres being randomly arranged
D04H0001724000;forming webs during fibre formation, e.g. flash-spinning
D04H0001728000;by electro-spinning
D04H0001732000;by fluid current, e.g. air-lay
D04H0001736000;characterised by the apparatus for arranging fibres (D04H0001728000, D04H0001732000 take precedence)..
D04H0001740000;the fibres being orientated, e.g. in parallel
D04H0001760000;otherwise than in a plane, e.g. in a tubular way
D04H0003000000;Non woven fabrics formed wholly or mainly of yarns or like filamentary material of substantial length
D04H0003002000;Inorganic yarns or filaments
D04H0003004000;Glass yarns or filaments
