E;SECTION E FIXED CONSTRUCTIONS
E06B0007230000;Plastic, sponge rubber, or like strips or tubes
E06B0007232000;Resilient strips of hard material, e.g. metal
E06B0007240000;without separate sealing members, e.g. with labyrinth
E06B0007260000;Rain or draught deflectors, e.g. under sliding wings
E06B0007280000;Other arrangements on doors or windows, e.g. door-plates, windows adapted to carry plants, hooks for window cleaners
E06B0007300000;Peep-holes. Devices for speaking through. Doors having windows
E06B0007320000;Serving doors. Passing-through doors
E06B0007340000;Doors containing cupboards (cabinets in general A47B)
E06B0007360000;Finger guards
E06B0009000000;Screening or protective devices for openings, with or without operating or securing mechanisms. Closures of similar construction (E06B0005100000 takes precedence.wings for doors or windows, connected at their edges, E06B0003480000. additional indoor equipment of doors or windows, not forming part of the proper finishing work of a building, e.g. curtains, A47H. gratings as building elements E04C0002420000. locks, accessories therefor E05B. bolts or fastening devices for wings E05C. operating mechanism for wings in general E05F)
E06B0009010000;Grilles fixed to walls, doors, or windows. Grilles moving with doors or windows. Walls formed as grilles, e.g. claustra
E06B0009020000;Shutters, movable grilles, or other safety closing devices, e.g. against burglary (louvre windows or grilles E06B0007080000. lamellar blinds E06B0009260000)
E06B0009040000;of wing type, e.g. revolving or sliding
E06B0009060000;collapsible or foldable, e.g. of the bellows or lazy-tongs type (bellows-type doors E06B0003940000. roll-type grilles E06B0009180000)
E06B0009080000;Roll-type closures (roller blinds E06B0009400000. operating, guiding or securing devices or arrangements for roll-type closures E06B0009560000. usable only as awnings E04F0010060000)
E06B0009110000;Roller shutters
E06B0009130000;with closing members of one piece, e.g. of corrugated sheet metal
E06B0009150000;with closing members formed of slats or the like
E06B0009165000;with slats disappearing in each other. with slats the distance between which can be altered
E06B0009170000;Parts or details of roller shutters, e.g. suspension devices, shutter boxes, wicket doors, ventilation openings
E06B0009171000;Rollers therefor. Fastening roller shutters to rollers
E06B0009172000;by clamping bars
E06B0009173000;by clasps or buttons
E06B0009174000;Bearings specially adapted therefor
E06B0009180000;Roll-type grilles
E06B0009240000;Screens or other constructions affording protection against light, especially against sunshine. Similar screens for privacy or appearance (operating, guiding or securing devices or arrangements for roll-type closures E06B0009560000. free-hanging flexible screens A47H0023000000)
E06B0009260000;Lamellar or like blinds, e.g. venetian blinds
E06B0009262000;with flexibly-interconnected horizontal or vertical strips. Concertina blinds
E06B0009264000;Combinations of lamellar blinds with roller shutters, screen windows, windows, or double panes. Lamellar blinds with special devices
E06B0009266000;Devices or accessories for making or mounting lamellar blinds or parts thereof
E06B0009280000;with horizontal lamellae, e.g. non-liftable (louvre windows or gratings E06B0007080000)
E06B0009300000;liftable
E06B0009302000;without ladder-tape, e.g. with lazy-tongs, with screw spindle
E06B0009303000;with ladder-tape
E06B0009304000;with tilting bar and separate raising shaft
E06B0009305000;with tilting bar and raising cords guided along fixed bar
E06B0009306000;with tilting bar along which the raising cords are guided
E06B0009307000;Details of tilting bars or their operation
E06B0009308000;with coaxial tilting bar and raising shaft
E06B0009320000;Operating, guiding, or securing devices therefor (operation of tilting bars E06B0009307000)
E06B0009322000;Details of operating devices, e.g. pulleys, brakes, spring drums, drives (devices of general interest specially adapted or mounted for storing and repeatedly paying-out and re-storing lengths of material B65H0075340000)
E06B0009323000;Structure or support of upper box
E06B0009324000;Cord-locks
E06B0009325000;Immobilising devices preventing raising
E06B0009326000;Details of cords, e.g. buckles, drawing knobs
E06B0009327000;Guides for raisable lamellar blinds with horizontal lamellae
E06B0009340000;roller type
E06B0009360000;with vertical lamellae
E06B0009380000;Other details
E06B0009382000;Details of ladder-tapes or ladder-chains, e.g. buckles for local shortening of tapes
E06B0009384000;Details of interconnection or interaction of tapes and lamellae
E06B0009386000;Details of lamellae
E06B0009388000;Details of bottom or upper slats or their attachment
E06B0009400000;Roller blinds (usable only as awnings E04F0010060000)
E06B0009420000;Parts or details of roller blinds, e.g. suspension devices, blind boxes (brackets or adjustable mountings for roller blinds and drawable curtains A47H0001130000)
E06B0009440000;Rollers therefor. Fastening roller blinds to rollers
E06B0009460000;by clamping bars
E06B0009480000;by clasps or buttons
E06B0009500000;Bearings specially adapted therefor
E06B0009520000;Devices affording protection against insects, e.g. fly screens. Mesh windows for other purposes
E06B0009540000;Roller fly screens (operating, guiding or securing devices therefor E06B0009560000)
E06B0009560000;Operating, guiding or securing devices or arrangements for roll-type closures. Spring drums. Tape drums. Counterweighting arrangements therefor (devices of general interest specially adapted or mounted for storing and repeatedly paying-out and re-storing lengths of material B65H0075340000)
E06B0009580000;Guiding devices
E06B0009600000;Spring drums operated only by closure members
E06B0009620000;Counterweighting arrangements (E06B0009600000 takes precedence)..
E06B0009640000;with lowerable roller
E06B0009660000;with a roller situated at the bottom
E06B0009680000;Operating devices or mechanisms, e.g. with electric drive
E06B0009700000;comprising an electric motor positioned outside the roller
E06B0009720000;comprising an electric motor positioned inside the roller
E06B0009740000;adapted for selective electrical or manual operation
E06B0009760000;using crank handles
E06B0009780000;for direct manual operation, e.g. by tassels, by handles
E06B0009800000;Safety measures against dropping or unauthorised opening. Braking or immobilising devices. Devices for limiting unrolling (securing devices or arrangements for direct manual operation E06B0009780000)
E06B0009820000;automatic
E06B0009840000;against dropping
E06B0009860000;against unauthorised opening
E06B0009880000;for limiting unrolling
E06B0009900000;for immobilising the closure member in various chosen positions
E06B0009920000;Means allowing the closures to be shifted out of the plane of the opening
E06B0011000000;Means for allowing passage through fences, barriers, or the like, e.g. stiles (general features of doors E06B0001000000-E06B0009000000)
E06B0011020000;Gates. Doors
E06B0011040000;characterised by the kind of suspension (suspensions per seE05D)
E06B0011060000;characterised by the kind of fastening (fastening devices for wings E05C)
E06B0011080000;Turnstiles (on vehicles B60N0005000000. with registering means G07C0009020000)
E06C;LADDERS (E04F0011000000 takes precedence.step-stools A47C0012000000. adaptation of ladders to use on ships B63B, to use on aircraft B64. scaffolding E04G)
E06C0001000000;Ladders in general (mounted on undercarriages or vehicles E06C0005000000. permanently attached to fixed structures E06C0009000000)
E06C0001020000;with rigid longitudinal member or members
E06C0001040000;Ladders for resting against objects, e.g. walls, poles, trees (supports for ladder heads E06C0007480000)
E06C0001060000;in one piece
E06C0001080000;multi-part
E06C0001100000;Sections fitted end to end
E06C0001120000;extensible, e.g. telescopic
E06C0001140000;Ladders capable of standing by themselves
E06C0001160000;with struts which rest on the ground (with struts rigid with the ladder E06C0001240000. having platforms E06C0001390000)
E06C0001180000;with supporting struts formed as ladders
E06C0001200000;with supporting struts formed as poles
E06C0001220000;with extensible, e.g. telescopic, ladder parts or struts
E06C0001240000;Free-standing ladders
E06C0001260000;in one piece
E06C0001280000;multi-part (with movable supporting struts formed as ladders E06C0001180000)
E06C0001300000;extensible, e.g. telescopic
E06C0001320000;Ladders with a strut which is formed as a ladder and can be secured in line with the ladder
E06C0001340000;Ladders attachable to structures, such as windows, cornices, poles, or the like (ladders permanently fastened to buildings E06C0009000000)
E06C0001360000;Ladders suspendable by hooks or the like
E06C0001380000;Special constructions of ladders, e.g. ladders with more or less than two longitudinal members, ladders with movable rungs or other treads, longitudinally-foldable ladders
E06C0001383000;Foldable ladders in which the longitudinal members are brought together on folding
E06C0001387000;having tip-up steps
E06C0001390000;Ladders having platforms. Ladders changeable into platforms (platforms for use on ladders E06C0007160000)
E06C0001393000;Ladders having platforms foldable with the ladder
E06C0001397000;characterised by having wheels, rollers, or runners
E06C0001520000;with non-rigid longitudinal members
E06C0001540000;of the lazy-tongs type
E06C0001560000;Rope or chain ladders
E06C0001580000;with both rigid and non-rigid longitudinal members
E06C0005000000;Ladders characterised by being mounted on undercarriages or vehicles. Securing ladders on vehicles (ladders having wheels, rollers, or runners E06C0001397000)
E06C0005020000;with rigid longitudinal members
E06C0005040000;capable of being elevated or extended
E06C0005060000;by piston and cylinder, or equivalent means, operated by a pressure medium
E06C0005080000;derived directly from a pressure reservoir
E06C0005100000;charged by a pump or compressor driven by the motor of the vehicle or another motor on the vehicle
E06C0005120000;derived directly from a pump or compressor
E06C0005140000;driven by the motor of the vehicle or another motor on the vehicle
E06C0005160000;using mechanical transmission only, with or without fluid or other non-mechanical couplings or clutches
E06C0005180000;using power from the motor of the vehicle or another motor
E06C0005200000;using hand-power (hand-operated extending means carried by the ladder E06C0007040000)
E06C0005220000;by, or with the assistance of, springs (E06C0005060000, E06C0005160000 take precedence)..
E06C0005240000;Dismounting ladders from vehicles
E06C0005260000;with non-rigid longitudinal members
E06C0005280000;of the lazy-tongs type
E06C0005300000;formed of links which reinforce themselves against each other
E06C0005320000;Accessories
E06C0005340000;Indicating devices
E06C0005360000;Safety devices against slipping or falling of ladders. Safety devices against overloading ladders
E06C0005380000;Devices for blocking the springs of the vehicle. Devices for supporting the undercarriage directly from the ground
E06C0005400000;Devices for canting ladders laterally
E06C0005420000;Devices for altering inclination. Latching devices therefor
E06C0005440000;Other accessories on ladders, e.g. acoustical signalling devices, dismountable switchboards
E06C0007000000;Component parts, supporting parts, or accessories
E06C0007020000;Extending means (for ladders mounted on undercarriages or vehicles E06C0005000000)
E06C0007040000;Hand-operated extending means carried by the ladder
E06C0007060000;Securing devices or hooks for parts of extensible ladders
E06C0007080000;Special construction of longitudinal members, or rungs or other treads
E06C0007100000;Reinforcements for ladders
E06C0007120000;Lifts or other hoisting devices on ladders
E06C0007140000;Holders for pails or other equipment on or for ladders
E06C0007160000;Platforms on, or for use on, ladders, e.g. liftable or lowerable platforms (aspects relating to the lifting B66F)
E06C0007180000;Devices for preventing persons from falling (life-saving belts A62B0001160000)
E06C0007420000;Ladder feet. Supports therefor (for scaffold elements E04G0005020000)
E06C0007440000;Means for mounting ladders on uneven ground
E06C0007460000;Non-skid equipment
E06C0007480000;Ladder heads. Supports for heads of ladders for resting against objects
E06C0007500000;Joints or other connecting parts
E06C0009000000;Ladders characterised by being permanently attached to fixed structures, e.g. fire escapes (movable stairways E04F0011040000)
E06C0009020000;rigidly mounted
E06C0009040000;in the form of climbing irons or the like
E06C0009060000;movably mounted
E06C0009080000;with rigid longitudinal members
E06C0009100000;forming part of a building, such as a balcony grid, window grid, or other window part
E06C0009120000;laterally displaceable
E06C0009140000;with non-rigid longitudinal members, e.g. rope or chain ladders, ladders of the lazy-tongs type
E21;EARTH OR ROCK DRILLING. MINING
E21B;EARTH OR ROCK DRILLING (mining, quarrying E21C. making shafts, driving galleries or tunnels E21D). OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS
E21B0001000000;Methods or apparatus for drilling
E21B0001000000;Percussion drilling (drives used in the borehole E21B0004000000)
E21B0001020000;Surface drives for drop hammers, e.g. with a cable
E21B0001040000;Devices for reversing the movement of the rod or cable at the surface
E21B0001120000;with a reciprocating impulse member (E21B0001020000, E21B0001380000 take precedence)..
E21B0001140000;driven by a rotating mechanism
E21B0001160000;with spring-mounted reciprocating masses, e.g. with air cushion
E21B0001180000;with elastic joining of the drive to the push-rod by double buffer springs
E21B0001200000;formed as centrifugal hammers
E21B0001220000;driven by electromagnets
E21B0001240000;the impulse member being a piston driven directly by fluid pressure
E21B0001260000;by liquid pressure
E21B0001280000;working with pulses
E21B0001300000;by air, steam or gas pressure
E21B0001320000;working with pulses
E21B0001340000;the impulse member being a piston of an internal-combustion engine
E21B0001360000;Tool-carrier piston type, i.e. in which the tool is connected to an impulse member
E21B0001380000;Hammer piston type, i.e. in which the tool bit or anvil is hit by an impulse member
E21B0003000000;Rotary drilling (drives used in the borehole E21B0004000000. rotary drilling machines in general B23B)
E21B0003020000;Surface drives for rotary drilling
E21B0003025000;with a to-and-fro rotation of the tool
E21B0003030000;with an intermittent unidirectional rotation of the tool
E21B0003035000;with slipping or elastic transmission
E21B0003040000;Rotary tables
E21B0003060000;Adaptation of rotary draw works to drive rotary tables (connecting or disconnecting couplings or joints E21B0019160000. rope, cable, or chain winding mechanisms, capstans B66D)
E21B0004000000;Drives for drilling, used in the borehole
E21B0004020000;Fluid rotary type drives (hydraulic turbines for drilling wells F03B0013020000)
E21B0004040000;Electric drives (E21B0004120000 takes precedence)..
E21B0004060000;Down-hole impacting means, e.g. hammers (percussion drill bits E21B0010360000. boring rams E21B0011020000. releasing-jars E21B0031107000)
E21B0004080000;impact being obtained by gravity only, e.g. with lost-motion connection
E21B0004100000;continuous unidirectional rotary motion of shaft or drilling pipe effecting consecutive impacts
E21B0004120000;Electrically operated hammers
E21B0004140000;Fluid operated hammers
E21B0004160000;Plural down-hole drives, e.g. for combined percussion and rotary drilling (E21B0004100000 takes precedence)..Drives for multi-bit drilling units
E21B0004180000;Anchoring or feeding in the borehole
E21B0004200000;combined with surface drive (E21B0004100000 takes precedence)..
E21B0006000000;Drives for drilling with combined rotary and percussive action (drives used in the borehole E21B0004000000. portable percussive machines with superimposed rotation B25D0016000000)
E21B0006020000;the rotation being continuous
E21B0006040000;Separate drives for percussion and rotation
E21B0006060000;the rotation being intermittent, e.g. obtained by a ratchet device
E21B0006080000;Separate drives for percussion and rotation
E21B0007000000;Special methods or apparatus for drilling (supports for the drilling machine, e.g. derricks or masts, E21B0015000000)
E21B0007020000;Drilling rigs characterised by means for land transport, e.g. skid mounting or wheel mounting (portable drilling rigs for use on underwater floors E21B0007124000)
E21B0007040000;Directional drilling
E21B0007060000;Deflecting the direction of boreholes
E21B0007080000;Special apparatus for deflecting the boring, e.g. special drill bits, knuckle joints, whipstocks (directional window cutting E21B0029060000. deflecting the direction of fishing tools E21B0031140000)
E21B0007100000;Correction of deflected boreholes
E21B0007120000;Underwater drilling (telescoping joints E21B0017070000. using heave compensators E21B0019090000. well heads specially adapted for underwater installations E21B0033035000)
E21B0007124000;with underwater tool drive prime mover, e.g. portable drilling rigs for use on underwater floors
E21B0007128000;from floating support with independent underwater anchored guide base
E21B0007132000;from underwater buoyant support
E21B0007136000;from non-buoyant support (E21B0007124000 takes precedence)..
E21B0007140000;Drilling by use of heat, e.g. flame drilling
E21B0007150000;of electrically generated heat
E21B0007160000;Applying separate balls or pellets by the pressure of the drill, so-called shot-drilling
E21B0007180000;Drilling by liquid or gas jets, with or without entrained pellets (E21B0007140000 takes precedence.hydraulic monitors E21C0045000000)
E21B0007200000;Driving or forcing casings or pipes into boreholes, e.g. sinking. Simultaneously drilling and casing boreholes (surface means for applying to-and-fro rotation movements to the casing E21B0003025000. placing piles E02D0007000000. sinking shafts while moving the lining downwards E21D0001080000)
E21B0007240000;Drilling using vibrating or oscillating means, e.g. out-of-balance masses (percussion drilling E21B0001000000)
E21B0007260000;Drilling without earth removal, e.g. with self-propelled burrowing devices (E21B0007300000 takes precedence.down-hole drives E21B0004000000)
E21B0007280000;Enlarging drilled holes, e.g. by counterboring (drill bits for enlarging the borehole E21B0010260000)
E21B0007300000;without earth removal
E21B0010000000;Drilling tools
E21B0010000000;Drill bits (specially adapted for deflecting the direction of boring E21B0007080000. with means for collecting substances E21B0027000000)
E21B0010020000;Core bits (characterised by wear resisting parts E21B0010460000. obtaining undisturbed cores E21B0025000000)
E21B0010040000;with core destroying means
E21B0010060000;Roller core bits
E21B0010080000;Roller bits (roller core bits E21B0010060000. with leading portion E21B0010260000. characterised by wear resisting parts E21B0010460000)
E21B0010100000;with roller axle supported at both ends (with disc cutters E21B0010120000)
E21B0010120000;with disc cutters
E21B0010140000;combined with non-rolling cutters other than of leading-portion type
E21B0010160000;characterised by tooth form or arrangement
E21B0010180000;characterised by conduits or nozzles for drilling fluids (drilling fluid supply to the bearings E21B0010230000)
E21B0010200000;characterised by detachable or adjustable parts, e.g. legs or axles (cross axle roller bits E21B0010100000)
E21B0010220000;characterised by bearing, lubrication or sealing details
E21B0010230000;with drilling fluid supply to the bearings
E21B0010240000;characterised by lubricating details (E21B0010230000 takes precedence)..
E21B0010250000;characterised by sealing details
E21B0010260000;Drill bits with leading portion, i.e. drill bits with a pilot cutter. Drill bits for enlarging the borehole, e.g. reamers (percussion drill bits with leading portion E21B0010400000. augers with leading portion E21B0010440000)
E21B0010280000;with non-expansible roller cutters
E21B0010300000;Longitudinal axis roller reamers, e.g. reamer stabilisers
E21B0010320000;with expansible cutting tools
E21B0010340000;of roller-cutter type
E21B0010360000;Percussion drill bits (characterised by wear resisting parts E21B0010460000)
E21B0010380000;characterised by conduits or nozzles for drilling fluids
E21B0010400000;with leading portion
E21B0010420000;Rotary drag type drill bits with teeth, blades or like cutting elements, e.g. fork-type bits, fish tail bits (characterised by wear resisting parts E21B0010460000, by conduits or nozzles for drilling fluid E21B0010600000, by detachable parts E21B0010620000)
E21B0010430000;characterised by the arrangement of teeth or other cutting elements
E21B0010440000;Bits with helical conveying portion, e.g. screw type bits. Augers with leading portion or with detachable parts (E21B0010420000 takes precedence.drilling rods with helical structure E21B0017220000)
E21B0010460000;characterised by wear resisting parts, e.g. diamond inserts
E21B0010480000;the bit being of core type
E21B0010500000;the bit being of roller type
E21B0010520000;with chisel- or button-type inserts
E21B0010540000;the bit being of the rotary drag type, e.g. fork-type bits
E21B0010550000;with preformed cutting elements (inserts per seE21B0010560000, E21B0010580000)
E21B0010560000;Button-type inserts (E21B0010520000 takes precedence)..
E21B0010567000;with preformed cutting elements mounted on a distinct support, e.g. polycrystalline inserts
E21B0010573000;characterised by support details, e.g. the substrate construction or the interface between the substrate and the cutting element
E21B0010580000;Chisel-type inserts (E21B0010520000, E21B0010540000 take precedence)..
E21B0010600000;characterised by conduits or nozzles for drilling fluids (for roller bits E21B0010180000. for percussion drill bits E21B0010380000)
E21B0010610000;characterised by nozzle structure
E21B0010620000;characterised by parts, e.g. cutting elements, which are detachable or adjustable (E21B0010640000 takes precedence.for roller bits E21B0010200000. for augers E21B0010440000)
E21B0010627000;with plural detachable cutting elements
E21B0010633000;independently detachable
E21B0010640000;characterised by the whole or part thereof being insertable into or removable from the borehole without withdrawing the drilling pipe (retrievable core receivers E21B0025020000)
E21B0010660000;the cutting element being movable through the drilling pipe and laterally shiftable
E21B0011000000;Other drilling tools
E21B0011020000;Boring rams (percussion drives used in the borehole E21B0004060000. percussion drill bits E21B0010360000)
E21B0011040000;Boring grabs
E21B0011060000;with driven cutting chains or similarly-driven tools
E21B0012000000;Accessories for drilling tools
E21B0012020000;Wear indicators
E21B0012040000;Drill bit protectors
E21B0012060000;Mechanical cleaning devices
E21B0015000000;Other equipment or details for drilling. Well equipment or well maintenance
E21B0015000000;Supports for the drilling machine, e.g. derricks or masts
E21B0015020000;specially adapted for underwater drilling (E21B0015040000 takes precedence.floating drilling platforms B63B0035440000. drilling platforms on legs E02B0017000000)
E21B0015040000;specially adapted for directional drilling, e.g. slant hole rigs
E21B0017000000;Drilling rods or pipes. Flexible drill strings. Kellies. Drill collars. Sucker rods. Casings. Tubings (rod couplings in general F16D. tubes or tube couplings in general F16L)
E21B0017010000;Risers (riser connectors E21B0033038000)
E21B0017020000;Couplings. Joints
E21B0017030000;between drilling rod or pipe and drill motor, e.g. between drilling rod and hammer
E21B0017040000;between rod and bit, or between rod and rod
E21B0017042000;threaded
E21B0017043000;with locking means
E21B0017046000;with ribs, pins, or jaws, and complementary grooves or the like, e.g. bayonet catches
E21B0017050000;Swivel joints
E21B0017060000;Releasing-joints, e.g. safety joints
E21B0017070000;Telescoping joints for varying drill string lengths. Shock absorbers (heave compensators in the derrick E21B0019090000. releasing-jars E21B0031107000)
E21B0017080000;Casing joints
E21B0017100000;Wear protectors. Centralising devices (drives used in the borehole with anchoring means E21B0004180000. guiding or centralising devices outside the borehole E21B0019240000)
E21B0017120000;Devices for placing or drawing out wear protectors
E21B0017140000;Casing shoes
E21B0017160000;Drill collars
E21B0017180000;Pipes provided with plural fluid passages (circulation of drilling fluid by means of such pipes E21B0021120000)
E21B0017200000;Flexible or articulated drilling pipes
E21B0017220000;Rods or pipes with helical structure (drill bits with helical conveying portion E21B0010440000)
E21B0019000000;Handling rods, casings, tubes or the like outside the borehole, e.g. in the derrick. Apparatus for feeding the rods or cables (surface drives E21B0001020000, E21B0003020000)
E21B0019020000;Rod or cable suspensions (load-engaging elements for hoisting or lowering purposes in general B66C0001000000. crown blocks or pulley blocks B66D. cable guides B66D0001360000)
E21B0019040000;Hooks
E21B0019060000;Elevators, i.e. rod- or tube-gripping devices
E21B0019070000;Slip-type elevators (slips in rotary tables E21B0019100000)
E21B0019080000;Apparatus for feeding the rods or cables (E21B0019220000 takes precedence.automatic feed E21B0044020000. hoisting drums B66D). Apparatus for increasing or decreasing the pressure on the drilling tool. Apparatus for counterbalancing the weight of the rods
E21B0019081000;Screw-and-nut feed mechanisms
E21B0019083000;Cam, rack or like feed mechanisms
E21B0019084000;with flexible drawing means, e.g. cables
E21B0019086000;with a fluid-actuated cylinder (E21B0019084000, E21B0019087000, E21B0019090000 take precedence)..
E21B0019087000;by means of a swinging arm
E21B0019089000;with a spring or an additional weight
E21B0019090000;specially adapted for drilling underwater formations from a floating support using heave compensators supporting the drill string (drilling-pipe telescoping joints E21B0017070000)
E21B0019100000;Slips. Spiders
E21B0019120000;Rope clamps (rope clamps in general F16G0011000000)
E21B0019140000;Racks, ramps, troughs or bins, for holding the lengths of rod singly or connected. Handling between storage place and borehole (E21B0019200000, E21B0019220000 take precedence)..
E21B0019150000;Racking of rods in horizontal position. Handling between horizontal and vertical position
E21B0019160000;Connecting or disconnecting pipe couplings or joints (E21B0019200000 takes precedence.pipe wrenches or the like B25B)
E21B0019180000;Connecting or disconnecting drill bit and drilling pipe
E21B0019200000;Combined feeding from rack and connecting, e.g. automatically
E21B0019220000;Handling reeled pipe or rod units, e.g. flexible drilling pipes
E21B0019240000;Guiding or centralising devices for drilling rods or pipes
E21B0021000000;Methods or apparatus for flushing boreholes, e.g. by use of exhaust air from motor (freeing objects stuck in boreholes by flushing E21B0031030000. well drilling compositions C09K0008020000)
E21B0021010000;Arrangements for handling drilling fluids or cuttings outside the borehole, e.g. mud boxes (arrangements for treating drilling fluids E21B0021060000)
E21B0021015000;Means engaging the bore entrance, e.g. hoods for collecting dust
E21B0021020000;Swivel joints in hose lines
E21B0021060000;Arrangements for treating drilling fluids outside the borehole (treating steps per se, see the relevant subclasses)..
E21B0021070000;for treating dust-laden gaseous fluids
E21B0021080000;Controlling or monitoring pressure or flow of drilling fluid, e.g. automatic filling of boreholes, automatic control of bottom pressure (valve arrangements therefor E21B0021100000)
E21B0021100000;Valves arrangements in drilling-fluid circulation systems (valves in general F16K)
E21B0021120000;using drilling pipes with plural fluid passages, e.g. closed circulation systems (pipes with plural fluid passages E21B0017180000)
E21B0021140000;using liquids and gases, e.g. foams
E21B0021160000;using gaseous fluids (E21B0021140000 takes precedence.arrangements for handling drilling fluids outside the borehole E21B0021010000. arrangements for treating drilling fluids E21B0021060000)
E21B0021180000;Preventing exhaust air from the drill motor from blowing-off towards the working face
E21B0023000000;Apparatus for displacing, setting, locking, releasing or removing tools, packers or the like in boreholes or wells (setting of casings, screens, or liners E21B0043100000)
E21B0023010000;for anchoring the tools or the like (E21B0023020000-E21B0023060000.  take precedence.anchoring of drives in the borehole E21B0004180000)
E21B0023020000;for locking the tools or the like in landing nipples or in recesses between adjacent sections of tubing (E21B0023030000-E21B0023060000.  take precedence)..
E21B0023030000;for setting the tools into, or removing the tools from, laterally offset landing nipples or pockets
E21B0023040000;operated by fluid means, e.g. actuated by explosion (E21B0023060000, E21B0023080000 take precedence)..
E21B0023060000;for setting packers
E21B0023080000;Introducing or running tools by fluid pressure, e.g. through-the-flow-line tool systems (special provisions on heads therefor E21B0033068000. cementing plugs E21B0033160000. scrapers operated by fluid pressure E21B0037040000)
E21B0023100000;Tools specially adapted therefor
E21B0023120000;Tool diverters
E21B0023140000;for displacing a cable or a cable-operated tool, e.g. for logging or perforating operations in deviated wells (by fluid pressure E21B0023080000. provision on well heads for introducing or removing cable-operated tools E21B0033072000, E21B0033076000)
E21B0025000000;Apparatus for obtaining or removing undisturbed cores, e.g. core barrels, core extractors (core bits E21B0010020000. using explosives or projectiles in boreholes E21B0049040000. side-wall sampling or coring E21B0049060000)
E21B0025020000;the core receiver being insertable into, or removable from, the borehole without withdrawing the drilling pipe (retrievable drill bits E21B0010640000)
E21B0025040000;the core receiver having a core forming cutting edge or element, e.g. punch type core barrels
E21B0025060000;the core receiver having a flexible liner or inflatable retaining means
E21B0025080000;Coating, freezing, consolidating cores (E21B0025060000 takes precedence)..Recovering uncontaminated cores or cores at formation pressure
E21B0025100000;Formed core retaining or severing means (E21B0025060000, E21B0025080000 take precedence)..
E21B0025120000;of the sliding wedge type
E21B0025140000;mounted on pivot transverse to core axis
E21B0025160000;for obtaining oriented cores
E21B0025180000;the core receiver being specially adapted for operation under water
E21B0027000000;Containers for collecting or depositing substances in boreholes or wells, e.g. bailers for collecting mud or sand. Drill bits with means for collecting substances, e.g. valve drill bits
E21B0027020000;Dump bailers, i.e. containers for depositing substances, e.g. cement or acids
E21B0027040000;where the collecting or depositing means include helical conveying means
E21B0028000000;Vibration generating arrangements for boreholes or wells, e.g. for stimulating production (for drilling E21B0007240000. for transmitting measuring-signals E21B0047140000. for geophysical measurements G01V0001020000)
E21B0029000000;Cutting or destroying pipes, packers, plugs, or wire lines, located in boreholes or wells, e.g. cutting of damaged pipes, of windows (perforators E21B0043110000). Deforming of pipes in boreholes or wells. Reconditioning of well casings while in the ground
E21B0029020000;by explosives or by thermal or chemical means (destroying objects in boreholes or wells by explosives E21B0031160000)
E21B0029040000;Cutting of wire lines or the like (E21B0029020000 takes precedence)..
E21B0029060000;Cutting windows, e.g. directional window cutters for whipstock operations (E21B0029080000 takes precedence.whipstocks E21B0007080000)
E21B0029080000;Cutting or deforming pipes to control fluid flow (blow-out preventers E21B0033060000)
E21B0029100000;Reconditioning of well casings, e.g. straightening
E21B0029120000;specially adapted for underwater installations (E21B0029080000 takes precedence)..
E21B0031000000;Fishing for or freeing objects in boreholes or wells (provisions on well heads for introducing or removing objects E21B0033068000. locating or determining the position of objects in boreholes or wells E21B0047090000)
E21B0031030000;Freeing by flushing
E21B0031060000;using magnetic means
E21B0031080000;using junk baskets or the like
E21B0031107000;using impact means for releasing stuck parts, e.g. jars (telescoping joints E21B0017070000)
E21B0031113000;hydraulically operated
E21B0031120000;Grappling tools, e.g. tongs or grabs
E21B0031140000;with means deflecting the direction of the tool, e.g. by use of knuckle joints (apparatus for deflecting the boring E21B0007080000)
E21B0031160000;combined with cutting or destroying means (cutting or destroying means per seE21B0029000000)
E21B0031180000;gripping externally, e.g. overshot
E21B0031200000;gripping internally, e.g. fishing spears
E21B0033000000;Sealing or packing boreholes or wells
E21B0033020000;Surface sealing or packing
E21B0033030000;Well heads. Setting-up thereof (valve arrangements therefor E21B0034020000)
E21B0033035000;specially adapted for underwater installations (E21B0033043000, E21B0033064000, E21B0033076000 take precedence)..
E21B0033037000;Protective housings therefor
E21B0033038000;Connectors used on well heads, e.g. for connecting blow-out preventer and riser (connecting a production flow line to an underwater well head E21B0043013000)
E21B0033040000;Casing heads. Suspending casings or tubings in well heads (setting of casings in wells E21B0043100000)
E21B0033043000;specially adapted for underwater well heads (E21B0033047000 takes precedence)..
E21B0033047000;for plural tubing strings
E21B0033050000;Cementing-heads, e.g. having provision for introducing cementing plugs
E21B0033060000;Blow-out preventers
E21B0033064000;specially adapted for underwater well heads (connectors therefor E21B0033038000)
E21B0033068000;having provision for introducing objects or fluids into, or removing objects from, wells (cementing-heads E21B0033050000)
E21B0033072000;for cable-operated tools (E21B0033076000 takes precedence)..
E21B0033076000;specially adapted for underwater installations
E21B0033080000;Wipers. Oil savers
E21B0033100000;in the borehole
E21B0033120000;Packers. Plugs (used for cementing E21B0033134000, E21B0033160000)
E21B0033122000;Multiple-string packers
E21B0033124000;Units with longitudinally-spaced plugs for isolating the intermediate space
E21B0033126000;with fluid-pressure-operated elastic cup or skirt (E21B0033122000, E21B0033124000 take precedence)..
