C;SECTION C CHEMISTRY METALLURGY
C23C0016300000;Deposition of compounds, mixtures or solid solutions, e.g. borides, carbides, nitrides
C23C0016320000;Carbides
C23C0016340000;Nitrides
C23C0016360000;Carbo-nitrides
C23C0016380000;Borides
C23C0016400000;Oxides
C23C0016420000;Silicides
C23C0016440000;characterised by the method of coating (C23C0016040000 takes precedence)..
C23C0016442000;using fluidised bed processes
C23C0016448000;characterised by the method used for generating reactive gas streams, e.g. by evaporation or sublimation of precursor materials
C23C0016452000;by activating reactive gas streams before introduction into the reaction chamber, e.g. by ionization or by addition of reactive species
C23C0016453000;passing the reaction gases through burners or torches, e.g. atmospheric pressure CVD (C23C0016513000 takes precedence.for flame or plasma spraying of coating material in the molten state C23C0004000000)
C23C0016455000;characterised by the method used for introducing gases into the reaction chamber or for modifying gas flows in the reaction chamber
C23C0016458000;characterised by the method used for supporting substrates in the reaction chamber
C23C0016460000;characterised by the method used for heating the substrate (C23C0016480000, C23C0016500000 take precedence)..
C23C0016480000;by irradiation, e.g. photolysis, radiolysis, particle radiation
C23C0016500000;using electric discharges
C23C0016503000;using dc or ac discharges
C23C0016505000;using radio frequency discharges
C23C0016507000;using external electrodes, e.g. in tunnel type reactors
C23C0016509000;using internal electrodes
C23C0016511000;using microwave discharges
C23C0016513000;using plasma jets
C23C0016515000;using pulsed discharges
C23C0016517000;using a combination of discharges covered by two or more of groups . C23C0016503000-C23C0016515000
C23C0016520000;Controlling or regulating the coating process (controlling or regulating in general G05)
C23C0016540000;Apparatus specially adapted for continuous coating
C23C0016560000;After-treatment
C23C0018000000;Chemical coating by decomposition of either liquid compounds or solutions of the coating forming compounds, without leaving reaction products of surface material in the coating (chemical surface reaction C23C0008000000, C23C0022000000). Contact plating
C23C0018020000;by thermal decomposition
C23C0018040000;Pretreatment of the material to be coated (C23C0018060000 takes precedence)..
C23C0018060000;Coating on selected surface areas, e.g. using masks
C23C0018080000;characterised by the deposition of metallic material
C23C0018100000;Deposition of aluminium only
C23C0018120000;characterised by the deposition of inorganic material other than metallic material
C23C0018140000;Decomposition by irradiation, e.g. photolysis, particle radiation
C23C0018160000;by reduction or substitution, i.e. electroless plating (C23C0018540000 takes precedence)..
C23C0018180000;Pretreatment of the material to be coated
C23C0018200000;of organic surfaces, e.g. resins
C23C0018220000;Roughening, e.g. by etching
C23C0018240000;using acid aqueous solutions
C23C0018260000;using organic liquids
C23C0018280000;Sensitising or activating
C23C0018300000;Activating
C23C0018310000;Coating with metals
C23C0018320000;Coating with one of iron, cobalt or nickel. Coating with mixtures of phosphorus or boron with one of these metals
C23C0018340000;using reducing agents
C23C0018360000;using hypophosphites
C23C0018380000;Coating with copper
C23C0018400000;using reducing agents
C23C0018420000;Coating with noble metals
C23C0018440000;using reducing agents
C23C0018480000;Coating with alloys
C23C0018500000;with alloys based on iron, cobalt or nickel (C23C0018320000 takes precedence)..
C23C0018520000;using reducing agents for coating with metallic material not provided for in a single one of groups . C23C0018320000-C23C0018500000
C23C0018540000;Contact plating, i.e. electroless electrochemical plating
C23C0020000000;Chemical coating by decomposition of either solid compounds or suspensions of the coating forming compounds, without leaving reaction products of surface material in the coating (chemical surface reaction C23C0008000000, C23C0022000000)
C23C0020020000;Coating with metallic material
C23C0020040000;with metals
C23C0020060000;Coating with inorganic material, other than metallic material
C23C0020080000;with compounds, mixtures or solid solutions, e.g. borides, carbides, nitrides
C23C0022000000;Chemical surface treatment of metallic material by reaction of the surface with a reactive liquid, leaving reaction products of surface material in the coating, e.g. conversion coatings, passivation of metals (wash primers C09D0005120000)
C23C0022020000;using non-aqueous solutions
C23C0022030000;containing phosphorus compounds
C23C0022040000;containing hexavalent chromium compounds
C23C0022050000;using aqueous solutions
C23C0022060000;using aqueous acidic solutions with pH 6
C23C0022070000;containing phosphates
C23C0022080000;Orthophosphates
C23C0022100000;containing oxidants
C23C0022120000;containing zinc cations
C23C0022130000;containing also nitrate or nitrite anions
C23C0022140000;containing also chlorate anions
C23C0022160000;containing also peroxy-compounds
C23C0022170000;containing also organic acids
C23C0022180000;containing manganese cations
C23C0022200000;containing aluminium cations
C23C0022220000;containing alkaline earth metal cations
C23C0022230000;Condensed phosphates
C23C0022240000;containing hexavalent chromium compounds
C23C0022260000;containing also organic compounds
C23C0022270000;Acids
C23C0022280000;Macromolecular compounds
C23C0022300000;containing also trivalent chromium
C23C0022320000;containing also pulverulent metals
C23C0022330000;containing also phosphates
C23C0022340000;containing fluorides or complex fluorides
C23C0022360000;containing also phosphates
C23C0022370000;containing also hexavalent chromium compounds
C23C0022380000;containing also phosphates
C23C0022400000;containing molybdates, tungstates or vanadates
C23C0022420000;containing also phosphates
C23C0022430000;containing also hexavalent chromium compounds
C23C0022440000;containing also fluorides or complex fluorides
C23C0022460000;containing oxalates
C23C0022470000;containing also phosphates
C23C0022480000;not containing phosphates, hexavalent chromium compounds, fluorides or complex fluorides, molybdates, tungstates, vanadates or oxalates
C23C0022500000;Treatment of iron or alloys based thereon
C23C0022520000;Treatment of copper or alloys based thereon
C23C0022530000;Treatment of zinc or alloys based thereon
C23C0022540000;Treatment of refractory metals or alloys based thereon
C23C0022560000;Treatment of aluminium or alloys based thereon
C23C0022570000;Treatment of magnesium or alloys based thereon
C23C0022580000;Treatment of other metallic material
C23C0022600000;using alkaline aqueous solutions with pH 8
C23C0022620000;Treatment of iron or alloys based thereon
C23C0022630000;Treatment of copper or alloys based thereon
C23C0022640000;Treatment of refractory metals or alloys based thereon
C23C0022660000;Treatment of aluminium or alloys based thereon
C23C0022670000;with solutions containing hexavalent chromium
C23C0022680000;using aqueous solutions with pH between 6 and 8
C23C0022700000;using melts
C23C0022720000;Treatment of iron or alloys based thereon
C23C0022730000;characterised by the process
C23C0022740000;for obtaining burned-in conversion coatings
C23C0022760000;Applying the liquid by spraying
C23C0022770000;Controlling or regulating of the coating process (controlling or regulating in general G05)
C23C0022780000;Pretreatment of the material to be coated
C23C0022800000;with solutions containing titanium or zirconium compounds
C23C0022820000;After-treatment
C23C0022830000;Chemical after-treatment
C23C0022840000;Dyeing
C23C0022860000;Regeneration of coating baths
C23C0024000000;Coating starting from inorganic powder (spraying of the coating material in molten state C23C0004000000. solid state diffusion C23C0008000000-C23C0012000000. manufacture of composite layers, workpieces or articles by sintering metallic powder B22F0007000000. friction welding B23K0020120000)
C23C0024020000;by application of pressure only
C23C0024040000;Impact or kinetic deposition of particles
C23C0024060000;Compressing powdered coating material, e.g. by milling
C23C0024080000;by application of heat or pressure and heat (C23C0024040000 takes precedence)..
C23C0024100000;with intermediate formation of a liquid phase in the layer
C23C0026000000;Coating not provided for in groups . C23C0002000000-C23C0024000000
C23C0026020000;applying molten material to the substrate (applying melts to surfaces, in general B05)
C23C0028000000;Coating for obtaining at least two superposed coatings either by methods not provided for in a single one of main groups . C23C0002000000-C23C0026000000, or by combinations of methods provided for in subclasses C23C and C25D
C23C0028020000;only coatings of metallic material
C23C0028040000;only coatings of inorganic non-metallic material
C23C0030000000;Coating with metallic material characterised only by the composition of the metallic material, i.e. not characterised by the coating process (C23C0026000000, C23C0028000000 take precedence)..
C23D;ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS (chemical composition of the enamels C03C)
C23D0001000000;Melting or fritting the enamels. Apparatus or furnaces therefor
C23D0001020000;Granulating the melt. Drying the granules
C23D0003000000;Coating with the enamels
C23D0003000000;Chemical treatment of the metal surfaces prior to coating (cleaning or de-greasing of metallic objects C23G)
C23D0005000000;Coating with enamels or vitreous layers
C23D0005020000;by wet methods
C23D0005040000;by dry methods
C23D0005060000;producing designs or letters
C23D0005080000;Applying enamels non-uniformly over the surface
C23D0007000000;Treating the coatings, e.g. drying before burning
C23D0009000000;Firing the enamels
C23D0009000000;Ovens specially adapted for firing enamels
C23D0009020000;Non-electric muffle furnaces
C23D0009040000;Non-electric tunnel ovens
C23D0009060000;Electric furnaces
C23D0009080000;Supporting devices for burning-bars
C23D0009100000;Loading or unloading devices
C23D0011000000;Continuous processes for firing enamels. Apparatus therefor
C23D0013000000;After-treatment
C23D0013000000;After-treatment of the enamelled articles
C23D0013020000;Removing defects by local re-melting of the enamel. Adjusting the shape
C23D0015000000;Joining enamelled articles to other enamelled articles by processes involving an enamelling step
C23D0017000000;De-enamelling
C23F;NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACES (working of metal by electro-erosion B23H. desurfacing by applying flames B23K0007000000. working metal by laser beam B23K0026000000). INHIBITING CORROSION OF METALLIC MATERIAL. INHIBITING INCRUSTATION IN GENERAL (treating metal surfaces or coating of metals by electrolysis or electrophoresis C25D, C25F). MULTI-STEP PROCESSES FOR SURFACE TREATMENT OF METALLIC MATERIAL INVOLVING AT LEAST ONE PROCESS PROVIDED FOR IN CLASS . C23.  AND AT LEAST ONE PROCESS COVERED BY SUBCLASS C21D. ¶ÿOR C22F.  OR CLASS C25
C23F0001000000;Etching metallic material by chemical means
C23F0001020000;Local etching
C23F0001040000;Chemical milling
C23F0001060000;Sharpening files
C23F0001080000;Apparatus, e.g. for photomechanical printing surfaces
C23F0001100000;Etching compositions (C23F0001440000 takes precedence)..
C23F0001120000;Gaseous compositions
C23F0001140000;Aqueous compositions
C23F0001160000;Acidic compositions (C23F0001420000 takes precedence)..
C23F0001180000;for etching copper or alloys thereof
C23F0001200000;for etching aluminium or alloys thereof
C23F0001220000;for etching magnesium or alloys thereof
C23F0001240000;for etching silicon or germanium
C23F0001260000;for etching refractory metals
C23F0001280000;for etching iron group metals
C23F0001300000;for etching other metallic material
C23F0001320000;Alkaline compositions (C23F0001420000 takes precedence)..
C23F0001340000;for etching copper or alloys thereof
C23F0001360000;for etching aluminium or alloys thereof
C23F0001380000;for etching refractory metals
C23F0001400000;for etching other metallic material
C23F0001420000;containing a dispersed water-immiscible liquid
C23F0001440000;Compositions for etching metallic material from a metallic material substrate of different composition
C23F0001460000;Regeneration of etching compositions
C23F0003000000;Brightening metals by chemical means
C23F0003020000;Light metals
C23F0003030000;with acidic solutions
C23F0003040000;Heavy metals
C23F0003060000;with acidic solutions
C23F0004000000;Processes for removing metallic material from surfaces, not provided for in group . C23F0001000000.  or C23F0003000000
C23F0004020000;by evaporation
C23F0004040000;by physical dissolution
C23F0011000000;Inhibiting corrosion of metallic material by applying inhibitors to the surface in danger of corrosion or adding them to the corrosive agent
C23F0011020000;in air or gases by adding vapour phase inhibitors
C23F0011040000;in markedly acid liquids
C23F0011060000;in markedly alkaline liquids
C23F0011080000;in other liquids
C23F0011100000;using organic inhibitors
C23F0011120000;Oxygen-containing compounds
C23F0011140000;Nitrogen-containing compounds
C23F0011160000;Sulfur-containing compounds
C23F0011167000;Phosphorus-containing compounds
C23F0011173000;Macromolecular compounds
C23F0011180000;using inorganic inhibitors
C23F0013000000;Inhibiting corrosion of metals by anodic or cathodic protection
C23F0013020000;cathodic. Selection of conditions, parameters or procedures for cathodic protection, e.g. of electrical conditions
C23F0013040000;Controlling or regulating desired parameters
C23F0013060000;Constructional parts, or assemblies of cathodic-protection apparatus
C23F0013080000;Electrodes specially adapted for inhibiting corrosion by cathodic protection. Manufacture thereof. Conducting electric current thereto
C23F0013100000;Electrodes characterised by the structure (C23F0013160000 takes precedence)..
C23F0013120000;Electrodes characterised by the material (C23F0013160000 takes precedence)..
C23F0013140000;Material for sacrificial anodes
C23F0013160000;Electrodes characterised by the combination of the structure and the material
C23F0013180000;Means for supporting electrodes
C23F0013200000;Conducting electric current to electrodes
C23F0013220000;Monitoring arrangements therefor
C23F0014000000;Inhibiting incrustation in apparatus for heating liquids for physical or chemical purposes (adding scale preventives or removers to water C02F0005000000)
C23F0014020000;by chemical means
C23F0015000000;Other methods of preventing corrosion or incrustation
C23F0017000000;Multi-step processes for surface treatment of metallic material involving at least one process provided for in class  C23 and at least one process covered by subclass C21D.  or C22F.  or class C25. (C23C0028000000 takes precedence)..
C23G;CLEANING OR DE-GREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS (polishing compositions C09G. detergents in general C11D)
C23G0001000000;Cleaning or pickling metallic material with solutions or molten salts (with organic solvents C23G0005020000)
C23G0001020000;with acid solutions
C23G0001040000;using inhibitors
C23G0001060000;organic inhibitors
C23G0001080000;Iron or steel
C23G0001100000;Other heavy metals
C23G0001120000;Light metals
C23G0001140000;with alkaline solutions
C23G0001160000;using inhibitors
C23G0001180000;Organic inhibitors
C23G0001190000;Iron or steel
C23G0001200000;Other heavy metals
C23G0001220000;Light metals
C23G0001240000;with neutral solutions
C23G0001260000;using inhibitors
C23G0001280000;with molten salts
C23G0001300000;using inhibitors
C23G0001320000;Heavy metals
C23G0001340000;Light metals
C23G0001360000;Regeneration of waste pickling liquors
C23G0003000000;Apparatus for cleaning or pickling metallic material (with organic solvents C23G0005040000)
C23G0003020000;for cleaning wires, strips, filaments continuously
C23G0003040000;for cleaning pipes
C23G0005000000;Cleaning or de-greasing metallic material by other methods. Apparatus for cleaning or de-greasing metallic material with organic solvents
C23G0005020000;using organic solvents
C23G0005024000;containing hydrocarbons
C23G0005028000;containing halogenated hydrocarbons
C23G0005032000;containing oxygen-containing compounds
C23G0005036000;having also nitrogen
C23G0005040000;Apparatus
C23G0005060000;using emulsions
C25;ELECTROLYTIC OR ELECTROPHORETIC PROCESSES. APPARATUS THEREFOR
C25B;ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON- METALS. APPARATUS THEREFOR (anodic or cathodic protection C23F0013000000. single-crystal growth C30B)
C25B0001000000;Electrolytic production of inorganic compounds or non-metals
C25B0001020000;of hydrogen or oxygen
C25B0001040000;by electrolysis of water
C25B0001060000;in cells with flat or plate-like electrodes
C25B0001080000;of the filter-press type
C25B0001100000;in diaphragm cells
C25B0001120000;in pressure cells
C25B0001130000;of ozone
C25B0001140000;of alkali metal compounds
C25B0001160000;Hydroxides
C25B0001180000;of alkaline earth metal compounds or magnesium compounds
C25B0001200000;Hydroxides
C25B0001210000;of manganese oxides
C25B0001220000;of inorganic acids
C25B0001240000;of halogens or compounds thereof
C25B0001260000;Chlorine. Compounds thereof
C25B0001280000;of per-compounds
C25B0001300000;Peroxides
C25B0001320000;Perborates
C25B0001340000;Simultaneous production of alkali metal hydroxides and chlorine, its oxyacids or salts
C25B0001360000;in mercury cathode cells
C25B0001380000;with vertical mercury cathode
C25B0001400000;with horizontal mercury cathode
C25B0001420000;Decomposition of amalgams
C25B0001440000;with the aid of catalysts
C25B0001460000;in diaphragm cells
C25B0003000000;Electrolytic production of organic compounds
C25B0003020000;by oxidation
C25B0003040000;by reduction
C25B0003060000;by halogenation
C25B0003080000;by fluorination
C25B0003100000;by coupling reactions, e.g. dimerisation
C25B0003120000;of organo-metallic compounds
C25B0005000000;Electrogenerative processes, i.e. processes for producing compounds in which simultaneously electricity is generated
C25B0007000000;Electrophoretic production of compounds or non-metals (separation or purification of peptides, e.g. of proteins, by electrophoresis C07K0001260000)
C25B0009000000;Cells or assemblies of cells. Constructional parts of cells. Assemblies of constructional parts, e.g. electrode-diaphragm assemblies
C25B0009020000;Holders for electrodes
C25B0009040000;Devices for current supply. Electrode connections. Electric inter-cell connections
C25B0009060000;Cells comprising dimensionally-stable non-movable electrodes. Assemblies of constructional parts thereof
C25B0009080000;with diaphragms
C25B0009100000;including an ion-exchange membrane in or on which electrode material is embedded
C25B0009120000;Cells or assemblies of cells comprising at least one movable electrode, e.g. rotary electrodes. Assemblies of constructional parts thereof
C25B0009140000;Liquid electrodes, e.g. mercury electrodes
C25B0009160000;Cells or assemblies of cells comprising at least one electrode made of particles. Assemblies of constructional parts thereof
C25B0009180000;Assemblies comprising a plurality of cells (assemblies of cells with movable electrodes C25B0009120000. assemblies of cells with electrodes made of particles C25B0009160000)
C25B0009200000;of the filter-press type
C25B0011000000;Electrodes. Manufacture thereof not otherwise provided for
C25B0011020000;characterised by shape or form
C25B0011030000;perforated or foraminous
C25B0011040000;characterised by the material
C25B0011060000;by the catalytic materials used
C25B0011080000;Noble metals
C25B0011100000;Electrodes based on barrier-type metals, e.g. titanium
C25B0011120000;Electrodes based on carbon
C25B0011140000;Impregnation of carbon electrodes (C25B0011060000 takes precedence)..
C25B0011160000;Electrodes based on manganese dioxide or lead dioxide
C25B0011180000;Mercury or amalgam electrodes
C25B0013000000;Diaphragms. Spacing elements
C25B0013020000;characterised by form or shape
C25B0013040000;characterised by the material
C25B0013060000;based on asbestos
C25B0013080000;based on organic materials
C25B0015000000;Operating or servicing of cells
C25B0015020000;Process control or regulation
C25B0015040000;Regulation of the inter-electrode distance
C25B0015060000;Detection or inhibition of short circuits in the cell
C25B0015080000;Supplying or removing reactants or electrolytes. Regeneration of electrolytes
C25C;PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS. APPARATUS THEREFOR (anodic or cathodic protection C23F0013000000. single-crystal growth C30B)
C25C0001000000;Electrolytic production, recovery or refining of metals by electrolysis of solutions (C25C0005000000 takes precedence)..
C25C0001020000;of light metals
C25C0001040000;in mercury cathode cells
C25C0001060000;of iron group metals, refractory metals or manganese
C25C0001080000;of nickel or cobalt
C25C0001100000;of chromium or manganese
C25C0001120000;of copper
C25C0001140000;of tin
C25C0001160000;of zinc, cadmium or mercury
C25C0001180000;of lead
C25C0001200000;of noble metals
C25C0001220000;of metals not provided for in groups . C25C0001020000-C25C0001200000
C25C0001240000;Alloys obtained by cathodic reduction of all their ions
C25C0003000000;Electrolytic production, recovery or refining of metals by electrolysis of melts (C25C0005000000 takes precedence)..
C25C0003020000;of alkali or alkaline earth metals
C25C0003040000;of magnesium
C25C0003060000;of aluminium
C25C0003080000;Cell construction, e.g. bottoms, walls, cathodes
C25C0003100000;External supporting frames or structures
C25C0003120000;Anodes
C25C0003140000;Devices for feeding or crust breaking
C25C0003160000;Electric current supply devices, e.g. bus bars
C25C0003180000;Electrolytes
C25C0003200000;Automatic control or regulation of cells (controlling or regulating in general G05)
C25C0003220000;Collecting emitted gases
C25C0003240000;Refining
C25C0003260000;of titanium, zirconium, hafnium, tantalum or vanadium
C25C0003280000;of titanium
C25C0003300000;of manganese
C25C0003320000;of chromium
C25C0003340000;of metals not provided for in groups . C25C0003020000-C25C0003320000
C25C0003360000;Alloys obtained by cathodic reduction of all their ions
C25C0005000000;Electrolytic production, recovery or refining of metal powders or porous metal masses
C25C0005020000;from solutions
C25C0005040000;from melts
C25C0007000000;Constructional parts, or assemblies thereof, of cells. Servicing or operating of cells (for the production of aluminium C25C0003060000-C25C0003220000)
C25C0007020000;Electrodes (consumable anodes for the refining of metals C25C0001000000-C25C0005000000). Connections thereof
C25C0007040000;Diaphragms. Spacing elements
C25C0007060000;Operating or servicing
C25C0007080000;Separating of deposited metals from the cathode
C25D;PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS. ELECTROFORMING (manufacturing printed circuits by metal deposition H05K0003180000). JOINING WORKPIECES BY ELECTROLYSIS. APPARATUS THEREFOR (anodic or cathodic protection C23F0013000000. single-crystal growth C30B)
C25D0001000000;Electroforming
C25D0001020000;Tubes. Rings. Hollow bodies
C25D0001040000;Wires. Strips. Foils
C25D0001060000;Wholly-metallic mirrors
C25D0001080000;Perforated or foraminous objects, e.g. sieves (C25D0001100000 takes precedence)..
C25D0001100000;Moulds. Masks. Masterforms
C25D0001120000;by electrophoresis
C25D0001140000;of inorganic material
C25D0001160000;Metals
C25D0001180000;of organic material
C25D0001200000;Separation of the formed objects from the electrodes
C25D0001220000;Separating compounds
C25D0002000000;Joining workpieces by electrolysis
C25D0003000000;Electroplating. Baths therefor
C25D0003020000;from solutions (C25D0005240000-C25D0005320000.  take precedence)..
C25D0003040000;of chromium
C25D0003060000;from solutions of trivalent chromium
C25D0003080000;Deposition of black chromium
C25D0003100000;characterised by the organic bath constituents used
C25D0003120000;of nickel or cobalt
C25D0003140000;from baths containing acetylenic or heterocyclic compounds
C25D0003160000;Acetylenic compounds
C25D0003180000;Heterocyclic compounds
C25D0003200000;of iron
C25D0003220000;of zinc
C25D0003240000;from cyanide baths
C25D0003260000;of cadmium
C25D0003280000;from cyanide baths
C25D0003300000;of tin
C25D0003320000;characterised by the organic bath constituents used
C25D0003340000;of lead
C25D0003360000;characterised by the organic bath constituents used
C25D0003380000;of copper
C25D0003400000;from cyanide baths
C25D0003420000;of light metals
C25D0003440000;Aluminium
C25D0003460000;of silver
C25D0003480000;of gold
C25D0003500000;of platinum group metals
C25D0003520000;characterised by the organic bath constituents used
C25D0003540000;of metals not provided for in groups . C25D0003040000-C25D0003500000
C25D0003560000;of alloys
C25D0003580000;containing more than 50% by weight of copper
C25D0003600000;containing more than 50% by weight of tin
C25D0003620000;containing more than 50% by weight of gold
C25D0003640000;containing more than 50% by weight of silver
C25D0003660000;from melts
C25D0005000000;Electroplating characterised by the process. Pretreatment or after-treatment of workpieces
C25D0005020000;Electroplating of selected surface areas
C25D0005040000;Electroplating with moving electrodes
C25D0005060000;Brush or pad plating
C25D0005080000;Electroplating with moving electrolyte, e.g. jet electroplating
C25D0005100000;Electroplating with more than one layer of the same or of different metals (for bearings C25D0007100000)
C25D0005120000;at least one layer being of nickel or chromium
C25D0005140000;two or more layers being of nickel or chromium, e.g. duplex or triplex layers
C25D0005160000;Electroplating with layers of varying thickness
C25D0005180000;Electroplating using modulated, pulsed or reversing current
C25D0005200000;Electroplating using ultrasonics
C25D0005220000;Electroplating combined with mechanical treatment during the deposition
C25D0005240000;Electroplating of metal surfaces to which a coating cannot readily be applied (C25D0005340000 takes precedence)..
C25D0005260000;of iron or steel surfaces
C25D0005280000;of surfaces of refractory metals
C25D0005300000;of surfaces of light metals
C25D0005320000;of surfaces of actinides
C25D0005340000;Pretreatment of metallic surfaces to be electroplated
C25D0005360000;of iron or steel
C25D0005380000;of refractory metals or nickel
C25D0005400000;Nickel. Chromium
C25D0005420000;of light metals
C25D0005440000;Aluminium
C25D0005460000;of actinides
C25D0005480000;After-treatment of electroplated surfaces
C25D0005500000;by heat-treatment
C25D0005520000;by brightening or burnishing
C25D0005540000;Electroplating of non-metallic surfaces (C25D0007120000 takes precedence)..
C25D0005560000;of plastics
C25D0007000000;Electroplating characterised by the article coated
C25D0007020000;Slide fasteners
C25D0007040000;Tubes. Rings. Hollow bodies
C25D0007060000;Wires. Strips. Foils
C25D0007080000;Mirrors. Reflectors
C25D0007100000;Bearings
C25D0007120000;Semiconductors
C25D0009000000;Electrolytic coating other than with metals (C25D0011000000, C25D0015000000 take precedence.electrophoretic coating C25D0013000000)
C25D0009020000;with organic materials
C25D0009040000;with inorganic materials
C25D0009060000;by anodic processes
C25D0009080000;by cathodic processes
C25D0009100000;on iron or steel
C25D0009120000;on light metals
C25D0011000000;Electrolytic coating by surface reaction, i.e. forming conversion layers
C25D0011020000;Anodisation
C25D0011040000;of aluminium or alloys based thereon
C25D0011060000;characterised by the electrolytes used
C25D0011080000;containing inorganic acids
C25D0011100000;containing organic acids
C25D0011120000;Anodising more than once, e.g. in different baths
C25D0011140000;Producing integrally coloured layers
C25D0011160000;Pretreatment
C25D0011180000;After-treatment, e.g. pore-sealing
C25D0011200000;Electrolytic after-treatment
C25D0011220000;for colouring layers
C25D0011240000;Chemical after-treatment
C25D0011260000;of refractory metals or alloys based thereon
C25D0011280000;of actinides or alloys based thereon
C25D0011300000;of magnesium or alloys based thereon
C25D0011320000;of semiconducting materials
C25D0011340000;of metals or alloys not provided for in groups . C25D0011040000-C25D0011320000
C25D0011360000;Phosphatising
C25D0011380000;Chromatising
C25D0013000000;Electrophoretic coating characterised by the process (C25D0015000000¶ÿtakes precedence.compositions for electrophoretic coating C09D0005440000)
C25D0013020000;with inorganic material
C25D0013040000;with organic material
C25D0013060000;polymers
C25D0013080000;by polymerisation . in situ of monomeric materials
C25D0013100000;characterised by the additives used
C25D0013120000;characterised by the article coated
C25D0013140000;Tubes. Rings. Hollow bodies
C25D0013160000;Wires. Strips. Foils
C25D0013180000;using modulated, pulsed or reversing current
C25D0013200000;Pretreatment
C25D0013220000;Servicing or operating
C25D0013240000;Regeneration of process liquids
C25D0015000000;Electrolytic or electrophoretic production of coatings containing embedded materials, e.g. particles, whiskers, wires
C25D0015020000;Combined electrolytic and electrophoretic processes
C25D0017000000;Constructional parts, or assemblies thereof, of cells for electrolytic coating
C25D0017020000;Tanks. Installations therefor
C25D0017040000;External supporting frames or structures
C25D0017060000;Suspending or supporting devices for articles to be coated
C25D0017080000;Racks
C25D0017100000;Electrodes
C25D0017120000;Shape or form (C25D0017140000 takes precedence)..
C25D0017140000;for pad-plating
C25D0017160000;Apparatus for electrolytic coating of small objects in bulk
C25D0017180000;having closed containers
C25D0017200000;Horizontal barrels
C25D0017220000;having open containers
C25D0017240000;Oblique barrels
C25D0017260000;Oscillating baskets
C25D0017280000;with means for moving the objects individually through the apparatus during the treatment
C25D0019000000;Electrolytic coating plants
C25D0021000000;Processes for servicing or operating cells for electrolytic coating
C25D0021020000;Heating or cooling
C25D0021040000;Removal of gases or vapours
C25D0021060000;Filtering
C25D0021080000;Rinsing
C25D0021100000;Agitating of electrolytes. Moving of racks
C25D0021110000;Use of protective surface layers on electrolytic baths
C25D0021120000;Process control or regulation
C25D0021140000;Controlled addition of electrolyte components
C25D0021160000;Regeneration of process solutions
C25D0021180000;of electrolytes (C25D0021220000 takes precedence)..
C25D0021200000;of rinse-solutions (C25D0021220000 takes precedence)..
C25D0021220000;by ion-exchange
C25F;PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS. APPARATUS THEREFOR (treatment of water, waste water or sewage by electrochemical methods C02F0001460000. anodic or cathodic protection C23F0013000000)
C25F0001000000;Electrolytic cleaning, degreasing, pickling, or descaling
C25F0001020000;Pickling. Descaling
C25F0001040000;in solution
C25F0001060000;of iron or steel
C25F0001080000;of refractory metals
C25F0001100000;of actinides
C25F0001120000;in melts
C25F0001140000;of iron or steel
C25F0001160000;of refractory metals
C25F0001180000;of actinides
C25F0003000000;Electrolytic etching or polishing
C25F0003020000;Etching
C25F0003040000;of light metals
C25F0003060000;of iron or steel
C25F0003080000;of refractory metals
C25F0003100000;of actinides
C25F0003120000;of semiconducting materials
C25F0003140000;locally
C25F0003160000;Polishing
C25F0003180000;of light metals
C25F0003200000;of aluminium
C25F0003220000;of heavy metals
C25F0003240000;of iron or steel
C25F0003260000;of refractory metals
C25F0003280000;of actinides
C25F0003300000;of semiconducting materials
C25F0005000000;Electrolytic stripping of metallic layers or coatings
C25F0007000000;Constructional parts, or assemblies thereof, of cells for electrolytic removal of material from objects (for both electrolytic coating and removal C25D0017000000). Servicing or operating
C25F0007020000;Regeneration of process liquids
C30;CRYSTAL GROWTH
C30B;SINGLE-CRYSTAL GROWTH (by using ultra-high pressure, e.g. for the formation of diamonds B01J0003060000). UNIDIRECTIONAL SOLIDIFICATION OF EUTECTIC MATERIAL OR UNIDIRECTIONAL DEMIXING OF EUTECTOID MATERIAL. REFINING BY ZONE-MELTING OF MATERIAL (zone-refining of metals or alloys C22B). PRODUCTION OF A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE (casting of metals, casting of other substances by the same processes or devices B22D. working of plastics B29. modifying the physical structure of metals or alloys C21D, C22F). SINGLE CRYSTALS OR HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE. AFTER-TREATMENT OF SINGLE CRYSTALS OR A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE (for producing semiconductor devices or parts thereof H01L). APPARATUS THEREFOR
C30B0001000000;Single-crystal growth from solids or gels
