H;SECTION H ELECTRICITY
H04L0012745000;using longest matching prefix
H04L0012747000;Address caching
H04L0012749000;Address processing over inter-domain or inter-network, e.g. mapping different addresses between IPv6¶ÿand IPv4 networks for routing
H04L0012751000;Topology update or discovery
H04L0012753000;Routing tree discovery, e.g. converting from mesh topology to tree topology
H04L0012755000;Topology update consistency, e.g. link state advertisement [LSA],¶ÿtime stamping or sequence numbers in the updates
H04L0012757000;Synchronised activation of routing updates, e.g. delaying or holding routing table updates
H04L0012759000;Dynamic adaptation of update interval, e.g. event-driven updates
H04L0012761000;Broadcast or multicast routing
H04L0012763000;Shortcut routing, e.g. next hop resolution protocol [NHRP]
H04L0012771000;Router architecture
H04L0012773000;for supporting layer 3 switching, e.g. IP switching, cell switch relay [CSR] or tag switching
H04L0012775000;multiple routing entities, e.g. multiple software or hardware instances
H04L0012781000;Multiprotocol routing, e.g. for protocol adaptation between IPv4 and IPv6 or dual stack
H04L0012801000;Flow control or congestion control
H04L0012803000;Load balancing, e.g. traffic distribution over multiple links
H04L0012805000;Determination of the optimum packet size, e.g. maximum transmission unit [MTU]
H04L0012807000;Calculation or update of the congestion window
H04L0012811000;Bitrate adaptation in active flows
H04L0012813000;Policy-based control, e.g. policing
H04L0012815000;Shaping
H04L0012819000;Leaky bucket
H04L0012823000;Packet dropping
H04L0012825000;Adaptive control, at the source or intermediate nodes, upon congestion feedback, e.g. X-on X-off
H04L0012827000;sent by intermediate network nodes
H04L0012829000;sent by the destination endpoint
H04L0012833000;Marking packets or altering packet priority upon congestion or for congestion prevention
H04L0012835000;using buffer capacity information at the endpoints or transit nodes
H04L0012841000;Flow control actions using time consideration, e.g. round trip time [RTT]
H04L0012851000;Traffic type related actions, e.g. QoS or priority
H04L0012853000;for real time traffic
H04L0012855000;for signalling traffic, e.g. operations, administration and maintenance [OAM] or acknowledge [ACK] packets
H04L0012857000;Mapping QoS constraints between layers or between different networks
H04L0012859000;Flow control actions based on the nature of the application, e.g. controlling web browsing or e-mail traffic
H04L0012861000;Packet buffering or queuing arrangements. Queue scheduling
H04L0012863000;Queue scheduling, e.g. Round Robin
H04L0012865000;Priority-based scheduling
H04L0012867000;Fair share scheduling
H04L0012869000;Multilevel scheduling. Hierarchical scheduling
H04L0012873000;Bandwidth-aware scheduling
H04L0012875000;Delay-aware scheduling
H04L0012877000;Distribution of residual bandwidth, e.g. distribution of unused bandwidth to best effort traffic [BET]
H04L0012879000;Single buffer operations, e.g. buffer pointers or buffer descriptors
H04L0012883000;Packet storage using a linked list of buffers
H04L0012885000;Jitter compensation buffering
H04L0012891000;Flow control of aggregated links or flows
H04L0012893000;Connection splitting, e.g. IP splitting
H04L0012901000;Ingress point selection by the source endpoint, e.g. Internet service provider [ISP] or point of presence [POP] selection
H04L0012903000;Selection among a plurality of different networks
H04L0012905000;Dynamic network selection or re-selection, e.g. after degradation of quality
H04L0012911000;Network admission control and resource allocation, e.g. bandwidth allocation or in-call renegotiation
H04L0012913000;Reservation actions involving intermediate nodes, e.g. resource reservation protocol [RSVP]
H04L0012915000;Reservation actions involving several network domains, e.g. multilateral agreements or mapping of resources
H04L0012917000;Dynamic resource allocation, e.g. in-call renegotiation requested by the user or upon changing network conditions requested by the network
H04L0012919000;initiated by the source endpoint
H04L0012923000;initiated by the network
H04L0012925000;Reservation of resources at the destination endpoint
H04L0012927000;Allocation of resources based on type of traffic, QoS or priority
H04L0012931000;Switch fabric architecture
H04L0012933000;Switch core, e.g. crossbar, shared memory or shared medium
H04L0012935000;Switch interfaces, e.g. port details
H04L0012937000;Switch control, e.g. arbitration
H04L0012939000;Provisions for redundant switching, e.g. using parallel switching planes
H04L0012943000;Transferring a complete packet or cell from each plane
H04L0012945000;Transferring a part of the packet or cell from each plane, e.g. bit slice
H04L0012947000;Address processing within a device, e.g. using internal ID or tags for routing within a switch
H04L0012951000;Assembling and disassembling of packets, e.g. segmentation and reassembly [SAR] in asynchronous transfer mode [ATM]
H04L0012953000;Packet sequencing arrangements for supporting message reassembly, e.g. packet sequence number
H04L0012955000;Padding or de-padding, e.g. inserting or removing dummy data in or from unused packet segments
H04L0013000000;Details of the apparatus or circuits covered by groups . H04L0015000000.  or H04L0017000000
H04L0013020000;Details not particular to receiver or transmitter
H04L0013040000;Driving mechanisms. Clutches
H04L0013060000;Tape or page guiding or feeding devices
H04L0013080000;Intermediate storage means
H04L0013100000;Distributors
H04L0013120000;Non-mechanical distributors, e.g. relay distributors
H04L0013140000;Electronic distributors
H04L0013160000;of transmitters, e.g. code-bars, code-discs
H04L0013180000;of receivers
H04L0015000000;Apparatus or local circuits for transmitting or receiving dot-and-dash codes, e.g. Morse code (teaching apparatus therefor G09B. telegraph tapping keys H01H0021860000)
H04L0015030000;Keys structurally combined with sound generators
H04L0015040000;Apparatus or circuits at the transmitting end
H04L0015060000;with a restricted number of keys, e.g. separate key for each type of code element
H04L0015080000;with a single key which transmits dots in one position and dashes in a second position
H04L0015100000;combined with perforating apparatus
H04L0015120000;with keyboard co-operating with code-bars
H04L0015140000;combined with perforating apparatus
H04L0015160000;with keyboard co-operating with code discs
H04L0015180000;Automatic transmitters, e.g. controlled by perforated tape
H04L0015200000;with optical sensing means
H04L0015220000;Apparatus or circuits for sending one or a restricted number of signals, e.g. distress signals
H04L0015240000;Apparatus or circuits at the receiving end
H04L0015260000;operating only on reception of predetermined code signals, e.g. distress signals, party-line call signals
H04L0015280000;Code reproducing apparatus
H04L0015300000;Writing recorders
H04L0015320000;Perforating recorders
H04L0015340000;Apparatus for recording received coded signals after translation, e.g. as type-characters
H04L0017000000;Apparatus or local circuits for transmitting or receiving codes wherein each character is represented by the same number of equal-length code elements, e.g. Baudot code
H04L0017020000;Apparatus or circuits at the transmitting end
H04L0017040000;with keyboard co-operating with code-bars
H04L0017060000;Contact operating means
H04L0017080000;combined with perforating apparatus
H04L0017100000;with keyboard co-operating with code-discs
H04L0017120000;Automatic transmitters, e.g. controlled by perforated tape
H04L0017140000;with optical sensing means
H04L0017160000;Apparatus or circuits at the receiving end
H04L0017180000;Code selection mechanisms
H04L0017200000;using perforating recorders
H04L0017220000;using mechanical translation and type-bar printing
H04L0017240000;using mechanical translation and type-head printing, e.g. type-wheel, type-cylinder
H04L0017260000;using aggregate motion translation
H04L0017280000;using pneumatic or hydraulic translation
H04L0017300000;using electric or electronic translation
H04L0019000000;Apparatus or local circuits for step-by-step systems
H04L0021000000;Apparatus or local circuits for mosaic printer telegraph systems
H04L0021020000;at the transmitting end
H04L0021040000;at the receiving end
H04L0023000000;Apparatus or local circuits for telegraphic systems other than those covered by groups . H04L0015000000-H04L0021000000
H04L0023020000;adapted for orthogonal signalling
H04L0025000000;Baseband systems
H04L0025020000;Details
H04L0025030000;Shaping networks in transmitter or receiver, e.g. adaptive shaping networks
H04L0025040000;Passive shaping networks
H04L0025050000;Electric or magnetic storage of signals before transmitting or retransmitting for changing the transmission rate
H04L0025060000;Dc level restoring means. Bias distortion correction
H04L0025080000;Modifications for reducing interference. Modifications for reducing effects due to line faults
H04L0025100000;Compensating for variations in line balance
H04L0025120000;Compensating for variations in line impedance
H04L0025140000;Channel dividing arrangements
H04L0025170000;Interpolating arrangements
H04L0025180000;Arrangements for inductively generating telegraphic signals
H04L0025200000;Repeater circuits. Relay circuits
H04L0025220000;Repeaters for converting two wires to four wires. Repeaters for converting single current to double current
H04L0025240000;Relay circuits using discharge tubes or semiconductor devices
H04L0025260000;Circuits with optical sensing means
H04L0025280000;Repeaters using modulation and subsequent demodulation
H04L0025300000;Non-synchronous systems
H04L0025320000;characterised by the code employed
H04L0025340000;using three or more different amplitudes, e.g. cable code
H04L0025380000;Synchronous or start-stop systems, e.g. for Baudot code
H04L0025400000;Transmitting circuits. Receiving circuits
H04L0025420000;using mechanical distributors
H04L0025440000;using relay distributors
H04L0025450000;using electronic distributors
H04L0025460000;using tuning forks or vibrating reeds
H04L0025480000;characterised by the code employed (H04L0025490000 takes precedence)..
H04L0025490000;using code conversion at the transmitter. using predistortion. using insertion of idle bits for obtaining a desired frequency spectrum. using three or more amplitude levels
H04L0025493000;by transition coding, i.e. the time-position or direction of a transition being encoded before transmission
H04L0025497000;by correlative coding, e.g. partial response coding or echo modulation coding
H04L0025520000;Repeater circuits. Relay circuits
H04L0025540000;using mechanical distributors
H04L0025560000;Non-electrical regenerative repeaters
H04L0025580000;using relay distributors
H04L0025600000;Regenerative repeaters with electromagnetic switches
H04L0025620000;using tuning forks or vibrating reeds
H04L0025640000;Start-stop regenerative repeaters using discharge tubes or semiconductor devices
H04L0025660000;Synchronous repeaters using discharge tubes or semiconductor devices
H04L0027000000;Modulated-carrier systems
H04L0027010000;Equalisers
H04L0027020000;Amplitude-modulated carrier systems, e.g. using on/off keying. Single sideband or vestigial sideband modulation (H04L0027320000 takes precedence)..
H04L0027040000;Modulator circuits. Transmitter circuits
H04L0027060000;Demodulator circuits. Receiver circuits
H04L0027080000;Amplitude regulation arrangements
H04L0027100000;Frequency-modulated carrier systems, i.e. using frequency-shift keying (H04L0027320000 takes precedence)..
H04L0027120000;Modulator circuits. Transmitter circuits
H04L0027140000;Demodulator circuits. Receiver circuits
H04L0027144000;with demodulation using spectral properties of the received signal, e.g. by using frequency selective- or frequency sensitive elements
H04L0027148000;using filters, including PLL-type filters
H04L0027152000;using controlled oscillators, e.g. PLL arrangements
H04L0027156000;with demodulation using temporal properties of the received signal, e.g. detecting pulse width
H04L0027160000;Frequency regulation arrangements
H04L0027180000;Phase-modulated carrier systems, i.e. using phase-shift keying (H04L0027320000 takes precedence)..
H04L0027200000;Modulator circuits. Transmitter circuits
H04L0027220000;Demodulator circuits. Receiver circuits
H04L0027227000;using coherent demodulation
H04L0027233000;using non-coherent demodulation
H04L0027240000;Half-wave signalling systems
H04L0027260000;Systems using multi-frequency codes (H04L0027320000 takes precedence)..
H04L0027280000;with simultaneous transmission of different frequencies each representing one code element
H04L0027300000;wherein each code element is represented by a combination of frequencies
H04L0027320000;Carrier systems characterised by combinations of two or more of the types covered by groups . H04L0027020000, H04L0027100000, H04L0027180000, or H04L0027260000
H04L0027340000;Amplitude- and phase-modulated carrier systems, e.g. quadrature-amplitude modulated carrier systems
H04L0027360000;Modulator circuits. Transmitter circuits
H04L0027380000;Demodulator circuits. Receiver circuits
H04L0029000000;Arrangements, apparatus, circuits or systems, not covered by a single one of groups . H04L0001000000-H04L0027000000
H04L0029020000;Communication control. Communication processing (H04L0029120000, H04L0029140000 take precedence)..
H04L0029040000;for plural communication lines
H04L0029060000;characterised by a protocol
H04L0029080000;Transmission control procedure, e.g. data link level control procedure
H04L0029100000;characterised by an interface, e.g. the interface between the data link level and the physical level
H04L0029120000;characterised by the data terminal
H04L0029140000;Counter-measures to a fault
H04M;TELEPHONIC COMMUNICATION (circuits for controlling other apparatus via a telephone cable and not involving telephone switching apparatus G08)
H04M0001000000;Substation equipment, e.g. for use by subscribers (subscriber services or facilities provided at exchanges H04M0003000000. prepayment telephone coin boxes H04M0017000000. current supply arrangements H04M0019080000)
H04M0001020000;Constructional features of telephone sets
H04M0001030000;Constructional features of telephone transmitters or receivers, e.g. telephone hand-sets
H04M0001040000;Supports for telephone transmitters or receivers
H04M0001050000;specially adapted for use on head, throat or breast
H04M0001060000;Hooks. Cradles
H04M0001080000;associated with switches operated by the weight of the receiver or hand-set
H04M0001100000;associated with switches operated by magnetic effect due to proximity of receiver or hand-set
H04M0001110000;Supports for sets, e.g. incorporating armrests
H04M0001120000;Adjustable supports, e.g. extensible
H04M0001130000;pantographic
H04M0001140000;with resilient means to eliminate extraneous vibrations
H04M0001150000;Protecting or guiding telephone cords
H04M0001170000;Hygienic or sanitary devices on telephone equipment (for mouthpieces or earpieces H04R0001120000)
H04M0001180000;Telephone sets¶ÿspecially adapted for use in ships, mines, or other places exposed to adverse environment (H04M0001190000¶ÿtakes precedence)..
H04M0001190000;Arrangements of transmitters, receivers, or complete sets to prevent eavesdropping, to attenuate local noise or to prevent undesired transmission. Mouthpieces or receivers specially adapted therefor (circuit arrangements for preventing eavesdropping H04M0001680000. telephone cabinets E04H0001140000)
H04M0001200000;Arrangements for preventing acoustic feedback (H04M0001620000 takes precedence)..
H04M0001210000;Combinations with auxiliary equipment, e.g. with clocks or. memoranda pads
H04M0001215000;by non-intrusive coupling means, e.g. acoustic couplers
H04M0001220000;Illumination. Arrangements for improving the visibility of characters on dials
H04M0001230000;Construction or mounting of dials or of equivalent devices. Means for facilitating the use thereof (by improving visibility H04M0001220000)
H04M0001240000;Arrangements for testing
H04M0001247000;Telephone sets including user guidance or feature selection means facilitating their use
H04M0001253000;Telephone sets using digital voice transmission
H04M0001260000;Devices for calling a subscriber (H04M0001660000¶ÿtakes precedence)..
H04M0001270000;Devices whereby a plurality of signals may be stored simultaneously
H04M0001272000;with provision for storing only one subscriber number at a time, e.g. by keyboard or dial
H04M0001274000;with provision for storing more than one subscriber number at a time
H04M0001274500;using static electronic memories, i.e. memories whose operation does not require relative movement between storage means and a transducer, e.g. chips
H04M0001275000;implemented by means of portable electronic directories
H04M0001275500;whose contents are provided by optical scanning
H04M0001276000;using magnetic recording, e.g. on tape
H04M0001278000;using punched cards or tapes
H04M0001300000;Devices which can set up and transmit only one digit at a time
H04M0001310000;by interrupting current to generate trains of pulses. by periodically opening and closing contacts to generate trains of pulses
H04M0001315000;Clutches, spring assemblies, speed regulators, e.g. centrifugal brakes (H04M0001320000-H04M0001400000.  take precedence)..
H04M0001320000;Locking setting devices during transmission to prevent interference by user
H04M0001340000;Lost-motion or other arrangements for ensuring a pause between successive digit transmissions
H04M0001380000;Pulses transmitted by a movement variably limited by the setting of a stop
H04M0001400000;wherein the setting-operation short-circuits or open-circuits the transmitting mechanism during a variable part of a cycle
H04M0001500000;by generating or selecting currents of predetermined frequencies or combinations of frequencies
H04M0001515000;by generating or selecting signals other than trains of pulses of similar shape, or signals other than currents of one or more different frequencies, e.g. generation of dc signals of alternating polarity, coded pulses or impedance dialling
H04M0001520000;Arrangements wherein a dial or the like is mechanically coupled to a line selector
H04M0001530000;Generation of additional signals, e.g. additional pulses
H04M0001540000;Arrangements wherein a dial or the like generates identifying signals, e.g. in party-line systems
H04M0001560000;Arrangements for indicating or recording the called number at the calling subscriber's set
H04M0001570000;Arrangements for indicating or recording the number of the calling subscriber at the called subscriber's set (at the operator set in a manual exchange H04M0005200000)
H04M0001580000;Anti-side-tone circuits
H04M0001600000;including speech amplifiers
H04M0001620000;Constructional arrangements
H04M0001640000;Automatic arrangements for answering calls. Automatic arrangements for recording messages for absent subscribers. Arrangements for recording conversations (centralised dictation systems H04M0011100000)
H04M0001650000;Recording arrangements
H04M0001652000;Means for playing back the recorded messages by remote control over a telephone line (H04M0001658000 takes precedence)..
H04M0001654000;Telephone line monitoring circuits therefor, e.g. ring detectors
H04M0001656000;for recording conversations
H04M0001658000;Means for redirecting recorded messages to other extensions or equipment
H04M0001660000;with means for preventing unauthorised or fraudulent calling (verifying user identity or authority in secret or secure digital communications H04L0009320000)
H04M0001663000;Preventing unauthorised calls to a telephone set
H04M0001665000;by checking the validity of a code
H04M0001667000;Preventing unauthorised calls from a telephone set (H04M0001677000 takes precedence)..
H04M0001670000;by electronic means
H04M0001673000;the user being required to key in a code
H04M0001675000;the user being required to insert a coded card, e.g. a smart card carrying an integrated circuit chip
H04M0001677000;Preventing the dialling or sending of predetermined telephone numbers or selected types of telephone numbers, e.g. long distance numbers
H04M0001680000;Circuit arrangements for preventing eavesdropping
H04M0001700000;Lock-out or secrecy arrangements in party-line systems
H04M0001720000;Substation extension arrangements. Cordless telephones, i.e. devices for establishing wireless links to base stations without route selecting
H04M0001723000;using two or more extensions per line (H04M0001725000 takes precedence)..
H04M0001725000;Cordless telephones
H04M0001727000;Identification code transfer arrangements
H04M0001730000;Battery saving arrangements
H04M0001733000;with a plurality of base stations connected to a plurality of lines
H04M0001737000;characterised by transmission of electromagnetic waves other than radio waves, e.g. infra-red waves
H04M0001738000;Interface circuits for coupling substations to external telephone lines (H04M0001780000 takes precedence)..
H04M0001740000;with means for reducing interference. with means for reducing effects due to line faults
H04M0001760000;Compensating for differences in line impedance
H04M0001780000;Circuit arrangements in which low-frequency speech signals proceed in one direction on the line, while speech signals proceeding in the other direction on the line are modulated on a high-frequency carrier signal
H04M0001800000;Telephone line holding circuits
H04M0001820000;Line monitoring circuits for call progress or status discrimination
H04M0003000000;Automatic or semi-automatic exchanges
H04M0003020000;Calling substations, e.g. by ringing (selective calling H04Q)
H04M0003040000;the calling signal being supplied from the final selector
H04M0003060000;the calling signal being supplied from the subscriber's line circuit
H04M0003080000;Indicating faults in circuits or apparatus
H04M0003100000;Providing fault- or trouble-signals
H04M0003120000;"Marking faulty circuits ""busy"". Enabling equipment to disengage itself from faulty circuits"
H04M0003140000;"Signalling existence of persistent ""off-hook"" condition"
H04M0003160000;with lock-out or secrecy provision in party-line systems
H04M0003180000;with means for reducing interference. with means for reducing effects due to line faults
H04M0003200000;with means for interrupting existing connections. with means for breaking-in on conversations
H04M0003220000;Arrangements for supervision, monitoring or testing
H04M0003240000;with provision for checking the normal operation
H04M0003260000;with means for applying test signals
H04M0003280000;Automatic routine testing
H04M0003300000;for subscribers' lines
H04M0003320000;for lines between exchanges
H04M0003340000;Testing for cross-talk
H04M0003360000;Statistical metering, e.g. recording occasions when traffic exceeds capacity of trunks
H04M0003380000;Graded-service arrangements, i.e. some subscribers prevented from establishing certain connections (queuing arrangements H04Q0003640000)
H04M0003400000;Applications of speech amplifiers
H04M0003420000;Systems providing special services or facilities to subscribers (specially adapted for wireless communication networks H04W0004000000)
H04M0003424000;Arrangements for automatic redialling (at the subscriber's set H04M0001270000)
H04M0003428000;Arrangements for placing incoming calls on hold
H04M0003432000;Arrangements for calling a subscriber at a specific time, e.g. morning call service
H04M0003436000;Arrangements for screening incoming calls
H04M0003440000;Additional connecting arrangements for providing access to frequently-wanted subscribers, e.g. abbreviated dialling (at the subscriber's set H04M0001270000. automatic redialling H04M0003424000)
H04M0003460000;Arrangements for calling a number of substations in a predetermined sequence until an answer is obtained
H04M0003480000;Arrangements for recalling a calling subscriber when the wanted subscriber ceases to be busy
H04M0003487000;Arrangements for providing information services, e.g. recorded voice services or time announcements
H04M0003493000;Interactive information services, e.g. directory enquiries
H04M0003500000;Centralised arrangements for answering calls. Centralised arrangements for recording messages for absent or busy subscribers (H04M0003487000 takes precedence.centralised dictation systems H04M0011100000)
H04M0003510000;Centralised call answering arrangements requiring operator intervention
H04M0003520000;Arrangements for routing dead number calls to operators
H04M0003523000;with call distribution or queuing
H04M0003527000;Centralised call answering arrangements not requiring operator intervention
H04M0003530000;Centralised arrangements for recording incoming messages
H04M0003533000;Voice mail systems
H04M0003537000;Arrangements for indicating the presence of a recorded message
H04M0003540000;Arrangements for diverting calls for one subscriber to another predetermined subscriber
H04M0003560000;Arrangements for connecting several subscribers to a common circuit, i.e. affording conference facilities (video conference systems H04N0007150000)
H04M0003580000;Arrangements for transferring received calls from one subscriber to another. Arrangements affording interim conversations between either the calling or the called party and a third party (substation line holding circuits H04M0001800000)
H04M0003600000;Semi-automatic systems, i.e. systems in which the numerical selection of the outgoing line is under the control of an operator
H04M0003620000;Keyboard equipment
H04M0003640000;Arrangements for signalling the number or class of the calling line to the operator (between operators in inter-exchange working H04M0005180000)
H04M0005000000;Manual exchanges (substation equipment in general H04M0001000000)
H04M0005020000;Constructional details (jacks, jack-plugs H01R0024580000)
H04M0005040000;Arrangements for indicating calls or supervising connections for calling or clearing
H04M0005060000;affording automatic call distribution
H04M0005080000;using connecting means other than cords
H04M0005100000;using separate plug for each subscriber
H04M0005120000;Calling substations, e.g. by ringing
H04M0005140000;Applications of speech amplifiers
H04M0005160000;with means for reducing interference. with means for reducing effects due to line faults
H04M0005180000;Arrangements for signalling the class or number of called or calling line from one exchange to another
H04M0005200000;Arrangements for indicating the numbers of the incoming lines
H04M0007000000;Arrangements for interconnection between switching centres
H04M0007020000;for compensating differences of ground potential
H04M0007040000;for compensating differences of line impedance
H04M0007060000;using auxiliary connections for control or supervision
H04M0007080000;for phantom working
H04M0007100000;for two-way working, i.e. calls may be set-up in either direction over the same connection
H04M0007120000;for working between exchanges having different types of switching equipment, e.g. power-driven and step by step or decimal and non-decimal
H04M0007140000;in systems involving main and subordinate switching centres (current supply source at subordinate switching centre charged from main exchange H04M0019060000)
H04M0007160000;in systems employing carrier frequencies
H04M0009000000;Arrangements for interconnection not involving centralised switching
H04M0009020000;involving a common line for all parties
H04M0009040000;involving a separate line for each pair of parties
H04M0009060000;involving combinations of interconnecting lines
H04M0009080000;Two-way loud-speaking telephone systems with means for conditioning the signal, e.g..  for suppressing echoes for one or both directions of traffic
H04M0009100000;with switching of direction of transmission by voice frequency
H04M0011000000;Telephonic communication systems specially adapted for combination with other electrical systems
H04M0011020000;with bell or annunciator systems
H04M0011040000;with alarm systems, e.g. fire, police or burglar alarm systems
H04M0011060000;Simultaneous speech and data transmission, e.g. telegraphic. transmission over the same conductors
H04M0011080000;specially adapted for optional reception of entertainment or informative matter
H04M0011100000;with dictation recording and playback systems
H04M0013000000;Party-line systems (substation equipment H04M0001000000. exchange equipment H04M0003000000, H04M0005000000. metering arrangements H04M0015360000)
H04M0015000000;Arrangements for metering, time-control or time-indication
H04M0015020000;Severing connection after a predetermined time
H04M0015040000;Recording calls in printed, perforated, or other permanent form
H04M0015060000;Recording class or number of calling party or. called party
H04M0015080000;Metering calls to called party
H04M0015100000;Metering calls from calling party
H04M0015120000;Discriminative metering
H04M0015140000;according to class of calling party
H04M0015160000;according to connection obtained
H04M0015180000;according to duration of call
H04M0015200000;Operator's time recording or indicating arrangements
H04M0015220000;according to time of day
H04M0015240000;preventing metering of tax-free calls to certain lines, e.g. to fire or ambulance stations
H04M0015260000;with a meter at the exchange controlled by an operator
H04M0015280000;with meter at substation
H04M0015300000;the meter not being controlled from an exchange
H04M0015320000;Metering arrangements for satellites or concentrators which connect one or more exchange lines with a group of local lines
H04M0015340000;Metering arrangements for private branch exchanges
H04M0015360000;Metering arrangements for party-lines
H04M0015380000;Metering by apparatus other than. mechanical step-by-step counter type
H04M0017000000;Prepayment telephone systems (using a coded card to authorise calls from a telephone set H04M0001675000)
H04M0017020000;Coin-freed or check-freed systems
H04M0019000000;Current supply arrangements for telephone systems (for selecting equipment H04Q0001280000)
H04M0019020000;providing ringing current or supervisory tones, e.g. dialling tone or busy tone
H04M0019040000;the ringing-current being generated at the substations
H04M0019060000;in which current supply sources at subordinate switching centres are¶ÿcharged from the main exchange
H04M0019080000;with current supply sources at the substations (generating ringing current H04M0019040000)
H04M0099000000;Subject matter not provided for in other groups of this subclass
H04N;PICTORIAL COMMUNICATION, e.g. TELEVISION
H04N0001000000;Scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission. Details thereof
H04N0001024000;Details of scanning heads
H04N0001028000;for picture-information pick-up
H04N0001029000;Heads optically focused on only one picture element at a time
H04N0001030000;with photodetectors arranged in a substantially linear array (scanning of linear arrays H04N0001190000)
H04N0001031000;the photodetectors having a one-to-one and optically positive correspondence with the scanned picture elements, e.g. linear contact sensors
H04N0001032000;for picture-information reproduction
H04N0001034000;using ink, e.g. ink-jet heads
H04N0001036000;for optical reproduction
H04N0001040000;Scanning arrangements (H04N0001387000 takes precedence)..
H04N0001047000;Detection, control or error compensation of scanning velocity or position (H04N0001170000 takes precedence)..
H04N0001053000;in main scanning direction, e.g. synchronisation of line start or picture elements in a line
H04N0001060000;using cylindrical picture-bearing surfaces
H04N0001080000;Mechanisms for mounting or holding the sheet around the drum
H04N0001100000;using flat picture-bearing surfaces
H04N0001107000;with manual scanning
H04N0001113000;using oscillating or rotating mirrors
H04N0001120000;using the sheet-feed movement as the slow scanning component (using multi-element arrays H04N0001190000)
H04N0001140000;using a rotating endless belt carrying the scanning heads
H04N0001160000;using a rotating helical element
H04N0001170000;the scanning speed being dependent on content of picture
H04N0001190000;using multi-element arrays
H04N0001191000;the array comprising a one-dimensional array
H04N0001192000;Simultaneously scanning picture elements on one main scanning line
H04N0001193000;using electrically scanned linear arrays
H04N0001195000;the array comprising a two-dimensional array
H04N0001203000;Simultaneous scanning of two or more separate pictures
H04N0001207000;Simultaneous scanning of the original picture and the reproduced picture with a common scanning device
H04N0001210000;Intermediate information storage (H04N0001387000, H04N0001410000¶ÿtake precedence)..
H04N0001230000;Reproducing arrangements (details of scanning heads H04N0001024000. scanning arrangements therefor H04N0001040000)
H04N0001270000;involving production of a magnetic intermediate picture
H04N0001290000;involving production of an electrostatic intermediate picture
H04N0001310000;Mechanical arrangements for picture transmission, e.g. adaptation of clutches, gearing, gear transmissions
H04N0001320000;Circuits or arrangements for control or supervision between transmitter and receiver
H04N0001327000;Initiating, continuing or ending a single-mode communication. Handshaking therefor
H04N0001333000;Mode signalling or mode changing. Handshaking therefor
H04N0001340000;for coin-freed systems
H04N0001360000;for synchronising or phasing transmitter and receiver
H04N0001380000;Circuits or arrangements for blanking or otherwise eliminating unwanted parts of pictures (H04N0001387000 takes precedence)..
H04N0001387000;Composing, repositioning or otherwise modifying originals
H04N0001393000;Enlarging or reducing
H04N0001400000;Picture signal circuits (H04N0001387000 takes precedence)..
H04N0001401000;Compensating positionaly unequal response of the pick-up or reproducing head (H04N0001403000 takes precedence)..
H04N0001403000;Discrimination between the two tones in the picture signal of a two-tone original
H04N0001405000;Halftoning, i.e. converting the picture signal of a continuous-tone original into a corresponding signal showing only two levels
H04N0001407000;Control or modification of tonal gradation or of extreme levels, e.g. background level
H04N0001409000;Edge or detail enhancement. Noise or error suppression
H04N0001410000;Bandwidth or redundancy reduction (by scanning H04N0001170000)
H04N0001411000;for the transmission or reproduction of two-tone pictures, e.g. black and white pictures
H04N0001413000;Systems or arrangements allowing the picture to be reproduced without loss or modification of picture-information
H04N0001415000;in which the picture-elements are subdivided or grouped into fixed one-dimensional or two-dimensional blocks
H04N0001417000;using predictive or differential encoding
H04N0001419000;in which encoding of the length of a succession of picture-elements of the same value along a scanning line is the only encoding step
H04N0001420000;Systems for two-way working
H04N0001440000;Secrecy systems
H04N0001460000;Colour picture communication systems
H04N0001480000;Picture signal generators (for halftone screening H04N0001520000)
H04N0001500000;Picture reproducers (for halftone screening H04N0001520000)
H04N0001520000;Circuits or arrangements for halftone screening
H04N0001540000;Conversion of colour picture signals to a plurality of signals some of which represent particular mixed colours, e.g. for textile printing
H04N0001560000;Processing of colour picture signals (H04N0001520000 takes precedence)..
H04N0001580000;Edge or detail enhancement. Noise or error suppression, e.g. colour misregistration correction (H04N0001620000 takes precedence)..
H04N0001600000;Colour correction or control
H04N0001620000;Retouching, i.e. modification of isolated colours only or in isolated picture areas only
H04N0001640000;Systems for the transmission or the storage of the colour picture signal. Details therefor, e.g. coding or decoding means therefor
H04N0003000000;Scanning details of television systems. Combination thereof with generation of supply voltages
H04N0003020000;by optical-mechanical means only (H04N0003360000¶ÿtakes precedence)..
H04N0003040000;having a moving aperture
H04N0003060000;having a moving lens or other refractor
H04N0003080000;having a moving reflector
H04N0003090000;for electromagnetic radiation in the invisible region, e.g. infra-red
H04N0003100000;by means not exclusively optical-mechanical (H04N0003360000 takes precedence.devices or arrangements for the electro-, magneto- or acousto-optical modulation or deflection of light beams G02F)
H04N0003120000;by switched stationary formation of lamps, photocells, or light relays
H04N0003140000;by means of electrically scanned solid-state devices (for picture generation H04N0005335000)
H04N0003160000;by deflecting electron beam in cathode-ray tube
H04N0003180000;Generation of supply voltages, in combination with electron beam deflecting
H04N0003185000;Maintaining dc voltage constant
H04N0003190000;Arrangements or assemblies in supply circuits for the purpose of withstanding high voltages
H04N0003200000;Prevention of damage to cathode-ray tubes in event of failure of scanning
H04N0003220000;Circuits for controlling dimensions, shape or centering of picture on screen
