G;SECTION G PHYSICS
G07F0005060000;wherein two or more coins of different denominations are required for each transaction
G07F0005080000;wherein the use of two or more coins or an equivalent single coin is optional for each transaction. wherein the use of two or more coins or an alternative equivalent combination of coins is optional for each transaction
G07F0005100000;actuated electrically by the coin, e.g. by a single coin
G07F0005120000;wherein two or more coins of the same denomination are required for each transaction
G07F0005140000;wherein two or more coins of different denominations are required for each transaction
G07F0005160000;wherein the use of two or more coins or an equivalent single coin is optional for each transaction. wherein the use of two or more coins or an alternative equivalent combination of coins is optional for each transaction
G07F0005180000;specially adapted for controlling several coin-freed apparatus from one place
G07F0005200000;specially adapted for registering coins as credit, e.g. mechanically actuated
G07F0005220000;electrically actuated
G07F0005240000;with change-giving
G07F0005260000;Interlocks, e.g. for locking the doors of compartments other than that to be used
G07F0007000000;Mechanisms actuated by objects other than coins to free or to actuate vending, hiring, coin or paper currency dispensing or refunding apparatus
G07F0007020000;by keys or other credit registering devices
G07F0007040000;by paper currency
G07F0007060000;by returnable containers, e.g. bottles
G07F0007080000;by coded identity card or credit card
G07F0007100000;together with a coded signal
G07F0007120000;Card verification
G07F0009000000;Details other than those peculiar to special kinds or types of apparatus (coin inlet arrangements G07F0001000000. coin-actuated mechanisms, interlocks G07F0005000000)
G07F0009020000;Devices for alarm or indication, e.g. when empty. Advertising arrangements in coin-freed apparatus (alarms or warning devices indicating the interruption of flow to be metered G07F0015100000)
G07F0009040000;Means for returning surplus or unused coins
G07F0009060000;Coin boxes
G07F0009080000;Counting total of coins inserted
G07F0009100000;Casings, e.g. with means for heating or cooling
G07F0011000000;Coin-freed apparatus for dispensing, or the like, discrete articles
G07F0011020000;from non-movable magazines
G07F0011040000;in which magazines the articles are stored one vertically above the other
G07F0011060000;supported individually on pivotally-mounted flaps or shelves
G07F0011080000;arranged in two columns in staggered relationship
G07F0011100000;two or more magazines having a common delivery chute
G07F0011120000;with means for automatically changing to reserve stacks
G07F0011140000;with means for raising the stack of articles to permit delivery of the topmost
G07F0011160000;Delivery means
G07F0011180000;Recessed drawers
G07F0011200000;Pushers actuated directly by hand
G07F0011220000;Pushers actuated indirectly by hand, e.g. through cranks or levers
G07F0011240000;Rotary or oscillatory members
G07F0011260000;Endless bands
G07F0011280000;in which the magazines are inclined
G07F0011300000;two or more magazines having independent delivery
G07F0011320000;two or more magazines having a common delivery chute
G07F0011340000;in which the magazines are of zig-zag form
G07F0011360000;in which the magazines are of helical or spiral form
G07F0011380000;in which the magazines are horizontal
G07F0011400000;the articles being delivered by hand-operated means
G07F0011420000;the articles being delivered by motor-driven means
G07F0011440000;in which magazines the articles are stored in bulk
G07F0011460000;from movable storage containers or supports
G07F0011480000;the storage containers or supports, e.g. magazine, being pivotally mounted
G07F0011500000;the storage containers or supports being rotatably mounted
G07F0011520000;about horizontal axes
G07F0011540000;about vertical axes
G07F0011560000;the storage containers or supports both rotating and moving axially
G07F0011580000;the articles being supported on or by endless belts or like conveyors
G07F0011600000;the storage containers or supports being rectilinearly movable
G07F0011620000;in which the articles are stored in compartments in fixed receptacles
G07F0011640000;in which the articles are individually suspended from stationary supports
G07F0011660000;in which the articles are dispensed by cutting from a mass
G07F0011680000;in which the articles are torn or severed from strips or sheets
G07F0011700000;in which the articles are formed in the apparatus from components, blanks, or material constituents
G07F0011720000;Auxiliary equipments, e.g. for lighting cigars, opening bottles
G07F0013000000;Coin-freed apparatus for controlling dispensing of fluids, semiliquids or granular material from reservoirs
G07F0013020000;by volume
G07F0013040000;by weight
G07F0013060000;with selective dispensing of different fluids or materials or mixtures thereof
G07F0013080000;in the form of a spray
G07F0013100000;with associated dispensing of containers, e.g. cups or other articles
G07F0015000000;Coin-freed apparatus with meter-controlled dispensing of liquid, gas, or electricity
G07F0015020000;in which the quantity mechanism is set forward by hand after insertion of a coin
G07F0015040000;in which the quantity mechanism is set forward automatically by the insertion of a coin
G07F0015060000;with means for prepaying basic charges, e.g. rent for meters
G07F0015080000;with means for varying the tariff or changing the price
G07F0015100000;with alarm or warning devices, e.g. indicating the interrupting of the supply
G07F0015120000;in which metering is on a time basis
G07F0017000000;Coin-freed apparatus for hiring articles. Coin-freed facilities or services
G07F0017020000;for optical devices, e.g. telescopes
G07F0017040000;for anthropometrical measurements such as weight, height, strength
G07F0017060000;for inflating-pumps
G07F0017080000;for seats or footstools
G07F0017100000;for means for safe-keeping of property, left temporarily, e.g. by fastening the property
G07F0017120000;comprising lockable containers, e.g. for accepting clothes to be cleaned
G07F0017140000;for fastenings for doors (of containers for safe-keeping G07F0017120000). for turnstiles
G07F0017160000;for devices exhibiting advertisements, announcements, pictures, or the like
G07F0017180000;for washing or drying persons
G07F0017200000;for washing or drying articles, e.g. clothes, motor cars
G07F0017220000;for cleaning and polishing boots or shoes
G07F0017240000;for parking meters
G07F0017260000;for printing, stamping, franking, typing, or teleprinting apparatus (ticket printing or like apparatus G07F0017420000)
G07F0017280000;for radio apparatus
G07F0017300000;for musical instruments
G07F0017320000;for games, toys, sports, or amusements
G07F0017340000;"depending on the stopping of moving members, e.g. ""fruit"" machines"
G07F0017360000;Age, character, or fortune telling apparatus
G07F0017380000;Ball games. Shooting apparatus
G07F0017400000;for devices for accepting orders, advertisements, or the like
G07F0017420000;for ticket printing or like apparatus
G07F0019000000;Complete banking systems. Coded card-freed arrangements adapted for dispensing or receiving monies or the like and posting such transactions to existing accounts, e.g. automatic teller machines (data processing equipment for bank accounting G06Q0040020000)
G07G;REGISTERING THE RECEIPT OF CASH, VALUABLES, OR TOKENS (digital computing in general G06C, G06F)
G07G0001000000;Cash registers (alarm indicators G07G0003000000)
G07G0001010000;Details for indicating (displaying information in general G09F, G09G)
G07G0001060000;with provision for the noting of the money to be paid
G07G0001080000;with rotating drums which display the money entered
G07G0001100000;mechanically operated
G07G0001120000;electronically operated (digital data processing aspects G06Q0020000000)
G07G0001140000;Systems including one or more distant stations co-operating with a central processing unit (data transmission in general H04L. telemetry systems for selectively calling a substation from a main station H04Q0009000000)
G07G0003000000;Alarm indicators, e.g. bells
G07G0005000000;Receipt-giving machines (cash registers giving receipts G07G0001000000)
G08;SIGNALLING
G08B;SIGNALLING OR CALLING SYSTEMS. ORDER TELEGRAPHS. ALARM SYSTEMS
G08B0001000000;Systems for signalling characterised solely by the form of transmission of the signal
G08B0001020000;using only mechanical transmission
G08B0001040000;using hydraulic transmission. using pneumatic transmission
G08B0001060000;hydraulic only
G08B0001080000;using electric transmission
G08B0003000000;Audible signalling systems. Audible personal calling systems
G08B0003020000;using only mechanical transmission
G08B0003060000;using hydraulic transmission. using pneumatic transmission
G08B0003100000;using electric transmission. using electromagnetic transmission
G08B0003140000;using explosives
G08B0005000000;Visible signalling systems, e.g. personal calling systems, remote indication of seats occupied
G08B0005020000;using only mechanical transmission
G08B0005060000;using hydraulic transmission. using pneumatic transmission
G08B0005140000;with indicator element moving about a pivot, e.g. hinged flap or rotating vane
G08B0005160000;with reset means necessitating a separate operation to return the indicator element
G08B0005180000;with indicator element moving rectilinearly
G08B0005200000;with reset means necessitating a separate operation to return the indicator element
G08B0005220000;using electric transmission. using electromagnetic transmission
G08B0005240000;with indicator element moving about a pivot, e.g. hinged flap or rotating vane
G08B0005260000;with reset means necessitating a separate operation to return the indicator element
G08B0005280000;with hinged flap or arm
G08B0005300000;with rotating or oscillating members, e.g. vanes
G08B0005320000;with indicator element moving rectilinearly
G08B0005340000;with reset means necessitating a separate operation to return the indicator element
G08B0005360000;using visible light sources
G08B0005380000;using flashing light
G08B0005400000;using smoke, fire or coloured gases
G08B0006000000;Tactile signalling systems, e.g. personal calling systems
G08B0007000000;Signalling systems according to more than one of groups . G08B0003000000-G08B0006000000. Personal calling systems according to more than one of groups . G08B0003000000-G08B0006000000
G08B0007020000;using mechanical transmission
G08B0007040000;using hydraulic transmission. using pneumatic transmission
G08B0007060000;using electric transmission
G08B0007080000;using explosives
G08B0009000000;Order telegraph apparatus, i.e. means for transmitting one of a finite number of different orders at the discretion of the user, e.g. bridge to engine room orders in ships
G08B0009020000;Details
G08B0009040000;Means for recording operation of the apparatus
G08B0009060000;Means for indicating disagreement between orders given and those carried out
G08B0009080000;mechanical
G08B0009100000;using ratchet
G08B0009120000;using rotary shaft
G08B0009140000;hydraulic. pneumatic
G08B0009160000;using ratchet
G08B0009180000;by varying displacement of the fluid
G08B0009200000;by varying pressure of the fluid
G08B0013000000;Burglar, theft or intruder alarms
G08B0013020000;Mechanical actuation
G08B0013040000;by breaking of glass
G08B0013060000;by tampering with fastening
G08B0013080000;by opening, e.g. of door, of window, of drawer, of shutter, of curtain, of blind
G08B0013100000;by pressure on floors, floor coverings, stair treads, counters, or tills
G08B0013120000;by the breaking or disturbance of stretched cords or wires
G08B0013140000;by lifting or attempted removal of hand-portable articles
G08B0013160000;Actuation by interference with mechanical vibrations in air or other fluid
G08B0013180000;Actuation by interference with heat, light, or radiation of shorter wavelength. Actuation by intruding sources of heat, light, or radiation of shorter wavelength
G08B0013181000;using active radiation detection systems
G08B0013183000;by interruption of a radiation beam or barrier
G08B0013184000;using radiation reflectors
G08B0013186000;using light guides, e.g. optical fibres
G08B0013187000;by interference of a radiation field
G08B0013189000;using passive radiation detection systems
G08B0013190000;using infra-red-radiation detection systems
G08B0013191000;using pyroelectric sensor means
G08B0013193000;using focusing means
G08B0013194000;using image scanning and comparing systems
G08B0013196000;using television cameras
G08B0013200000;Actuation by change of fluid pressure
G08B0013220000;Electrical actuation
G08B0013240000;by interference with electromagnetic field distribution
G08B0013260000;by proximity of an intruder causing variation in capacitance or inductance of a circuit
G08B0015000000;Identifying, scaring or incapacitating burglars, thieves or intruders, e.g. by explosives
G08B0015020000;with smoke, gas, or coloured or odorous powder or liquid
G08B0017000000;Fire alarms. Alarms responsive to explosion
G08B0017020000;Mechanical actuation of the alarm, e.g. by the breaking of a wire
G08B0017040000;Hydraulic or pneumatic actuation of the alarm, e.g. by change of fluid pressure
G08B0017060000;Electric actuation of the alarm, e.g. using a thermally-operated switch
G08B0017080000;Actuation involving the use of explosive means
G08B0017100000;Actuation by presence of smoke or gases
G08B0017103000;using a light emitting and receiving device
G08B0017107000;for detecting light-scattering due to smoke
G08B0017110000;using an ionisation chamber for detecting smoke or gas
G08B0017113000;Constructional details
G08B0017117000;by using a detection device for specific gases, e.g. combustion products, produced by the fire (G08B0017103000, G08B0017110000 take precedence)..
G08B0017120000;Actuation by presence of radiation or particles, e.g. of infra-red radiation or of ions
G08B0019000000;Alarms responsive to two or more different undesired or abnormal conditions, e.g. burglary and fire, abnormal temperature and abnormal rate of flow
G08B0019020000;Alarm responsive to formation or anticipated formation of ice
G08B0021000000;Alarms responsive to a single specified undesired or abnormal condition and not otherwise provided for
G08B0021020000;Alarms for ensuring the safety of persons
G08B0021040000;responsive to non-activity, e.g. of elderly persons (G08B0021060000 takes precedence)..
G08B0021060000;indicating a condition of sleep, e.g. anti-dozing alarms
G08B0021080000;responsive to the presence of persons in a body of water, e.g. a swimming pool. responsive to an abnormal condition of a body of water
G08B0021100000;responsive to calamitous events, e.g. tornados or earthquakes
G08B0021120000;responsive to undesired emission of substances, e.g. pollution alarms
G08B0021140000;Toxic gas alarms (G08B0021160000 takes precedence)..
G08B0021160000;Combustible gas alarms
G08B0021180000;Status alarms (G08B0021020000 takes precedence)..
G08B0021200000;responsive to moisture
G08B0021220000;responsive to presence or absence of persons
G08B0021240000;Reminder alarms, e.g. anti-loss alarms
G08B0023000000;Alarms responsive to unspecified undesired or abnormal conditions
G08B0025000000;Alarm systems in which the location of the alarm condition is signalled to a central station, e.g. fire or police telegraphic systems
G08B0025010000;characterised by the transmission medium
G08B0025040000;using a single signalling line, e.g. in a closed loop
G08B0025060000;using power transmission lines
G08B0025080000;using communication transmission lines
G08B0025100000;using wireless transmission systems
G08B0025120000;Manually actuated calamity alarm transmitting arrangements
G08B0025140000;Central alarm receiver or annunciator arrangements
G08B0026000000;Alarm systems in which substations are interrogated in succession by a central station
G08B0027000000;Alarm systems in which the alarm condition is signalled from a central station to a plurality of substations
G08B0029000000;Checking or monitoring of signalling or alarm systems. Prevention or correction of operating errors, e.g. preventing unauthorised operation
G08B0029020000;Monitoring continuously signalling or alarm systems
G08B0029040000;Monitoring of the detection circuits
G08B0029060000;Monitoring of the line circuits, e.g. signalling of line faults
G08B0029080000;Signalling of tampering with the line circuit
G08B0029100000;Monitoring of the annunciator circuits
G08B0029120000;Checking intermittently signalling or alarm systems
G08B0029140000;checking the detection circuits
G08B0029160000;Security signalling or alarm systems, e.g. redundant systems
G08B0029180000;Prevention or correction of operating errors (G08B0029020000, G08B0029120000 take precedence)..
G08B0029200000;Calibration, including self-calibrating arrangements
G08B0029220000;Provisions facilitating manual calibration, e.g. input or output provisions for testing. Holding of intermittent values to permit measurement
G08B0029240000;Self-calibration, e.g. compensating for environmental drift or ageing of components
G08B0029260000;by updating and storing reference thresholds
G08B0029280000;by changing the gain of an amplifier
G08B0031000000;Predictive alarm systems characterised by extrapolation or other computation using updated historic data
G08C;TRANSMISSION SYSTEMS FOR MEASURED VALUES, CONTROL OR SIMILAR SIGNALS (fluid pressure transmission systems F15B.  mechanical means for transferring the output of a sensing member into a different variable G01D0005000000.  mechanical control systems G05G)
G08C0013000000;Arrangements for influencing the relationship between signals at input and output, e.g. differentiating, delaying
G08C0013020000;to yield a signal which is a function of two or more signals, e.g. sum, product
G08C0015000000;Arrangements characterised by the use of multiplexing for the transmission of a plurality of signals over a common path
G08C0015020000;simultaneously, i.e. using frequency division
G08C0015040000;the signals being modulated on carrier frequencies
G08C0015060000;successively, i.e. using time division
G08C0015080000;the signals being represented by amplitude of current or voltage in transmission link
G08C0015100000;the signals being represented by frequencies or phase of current or voltage in transmission link
G08C0015120000;the signals being represented by pulse characteristics in transmission link
G08C0017000000;Arrangements for transmitting signals characterised by the use of a wireless electrical link
G08C0017020000;using a radio link
G08C0017040000;using magnetically coupled devices
G08C0017060000;using capacity coupling
G08C0019000000;Electric signal transmission systems (G08C0017000000 takes precedence)..
G08C0019020000;in which the signal transmitted is magnitude of current or voltage (G08C0019360000, G08C0019380000 take precedence)..
G08C0019040000;using variable resistance
G08C0019060000;using variable inductance
G08C0019080000;differentially influencing two coils
G08C0019100000;using variable capacitance
G08C0019120000;in which the signal transmitted is frequency or phase of ac
G08C0019140000;using combination of fixed frequencies
G08C0019160000;in which transmission is by pulses
G08C0019180000;using a variable number of pulses in a train
G08C0019200000;operating on dynamo-electric devices, e.g. step motor
G08C0019220000;by varying the duration of individual pulses
G08C0019240000;using time shift of pulses
G08C0019260000;by varying pulse repetition frequency
G08C0019280000;using pulse code
G08C0019300000;in which transmission is by selection of one or more conductors or channels from a plurality of conductors or channels (G08C0019380000 takes precedence)..
G08C0019320000;of one conductor or channel
G08C0019340000;of a combination of conductors or channels
G08C0019360000;using optical means to convert the input signal
G08C0019380000;using dynamo-electric devices (operated by pulses G08C0019200000)
G08C0019400000;of which only the rotor or the stator carries a winding to which a signal is applied, e.g. using step motor
G08C0019420000;having three stator poles
G08C0019440000;having more than three stator poles
G08C0019460000;of which both rotor and stator carry windings (having squirrel-cage rotor G08C0019400000)
G08C0019480000;being of the type with a three-phase stator and a rotor fed by constant-frequency ac, e.g. selsyn, magslip
G08C0021000000;Systems for transmitting the position of an object with respect to a predetermined reference system, e.g. tele-autographic system
G08C0023000000;Non-electric signal transmission systems, e.g. optical systems
G08C0023020000;using acoustic waves
G08C0023040000;using light waves, e.g. infra-red
G08C0023060000;through light guides, e.g. optical fibres
G08C0025000000;Arrangements for preventing or correcting errors. Monitoring arrangements
G08C0025020000;by signalling back from receiving station to transmitting station
G08C0025040000;by recording transmitted signals
G08G;TRAFFIC CONTROL SYSTEMS (guiding railway traffic, ensuring the safety of railway traffic B61L. radar or analogous systems, sonar systems or lidar systems specially adapted for traffic control G01S0013910000, G01S0015880000, G01S0017880000. radar or analogous systems, sonar systems or lidar systems specially adapted for anti-collision purposes G01S0013930000, G01S0015930000, G01S0017930000. control of position, course, altitude or attitude of land, water, air or space vehicles, not being specific to a traffic environment G05D0001000000)
G08G0001000000;Traffic control systems for road vehicles (arrangement of road signs or traffic signals E01F0009000000)
G08G0001005000;including pedestrian guidance indicator
G08G0001010000;Detecting movement of traffic to be counted or controlled (G08G0001070000-G08G0001140000.  take precedence.road pricing or congestion charging of vehicles or vehicle users G07B0015060000)
G08G0001015000;with provision for distinguishing between motor cars and cycles
G08G0001017000;identifying vehicles (G08G0001015000, G08G0001054000 take precedence)..
G08G0001020000;using treadles built into the road
G08G0001040000;using optical or ultrasonic detectors
G08G0001042000;using inductive or magnetic detectors
G08G0001048000;with provision for compensation of environmental or other condition, e.g. snow, vehicle stopped at detector
G08G0001052000;with provision for determining speed or overspeed
G08G0001054000;photographing overspeeding vehicles
G08G0001056000;with provision for distinguishing direction of travel
G08G0001065000;by counting the vehicles in a section of the road or in a parking area, i.e. comparing incoming count with outgoing count (road pricing or congestion charging of vehicles or vehicle users G07B0015060000)
G08G0001070000;Controlling traffic signals
G08G0001080000;according to detected number or speed of vehicles
G08G0001081000;Plural intersections under common control
G08G0001082000;Controlling the time between beginning of the same phase of a cycle at adjacent intersections
G08G0001083000;Controlling the allocation of time between phases of a cycle
G08G0001085000;using a free-running cyclic timer
G08G0001087000;Override of traffic control, e.g. by signal transmitted by an emergency vehicle
G08G0001090000;Arrangements for giving variable traffic instructions
G08G0001095000;Traffic lights
G08G0001095500;transportable
G08G0001096000;provided with indicators in which a mark progresses showing the time elapsed, e.g. of green phase
G08G0001096200;having an indicator mounted inside the vehicle, e.g. giving voice messages
G08G0001096500;responding to signals from another vehicle, e.g. emergency vehicle
G08G0001096700;Systems involving transmission of highway information, e.g. weather, speed limits (G08G0001096800 takes precedence)..
G08G0001096800;Systems involving transmission of navigation instructions to the vehicle
G08G0001096900;having a display in the form of a map
G08G0001097000;Supervising of traffic control systems, e.g. by giving an alarm if two crossing streets have green light simultaneously
G08G0001123000;indicating the position of vehicles, e.g. scheduled vehicles
G08G0001127000;to a central station
G08G0001130000;the indicator being in the form of a map
G08G0001133000;within the vehicle
G08G0001137000;the indicator being in the form of a map
G08G0001140000;indicating individual free spaces in parking areas
G08G0001160000;Anti-collision systems
G08G0003000000;Traffic control systems for marine craft (marking of navigational route B63B0051000000)
G08G0003020000;Anti-collision systems
G08G0005000000;Traffic control systems for aircraft
G08G0005020000;Automatic landing aids, i.e. systems in which flight data of incoming planes are processed to provide landing data (landing aids fitted in or to aircraft, or safety measures fitted in or to aircraft to prevent collision with earth's surface B64D0045040000. visual or acoustic landing aids on the ground or on aircraft-carrier decks B64F0001180000)
G08G0005040000;Anti-collision systems
G08G0005060000;for control when on the ground
G08G0007000000;Traffic control systems for simultaneous control of two or more different kinds of craft
G08G0007020000;Anti-collision systems
G08G0009000000;Traffic control systems for craft where the kind of craft is irrelevant or unspecified
G08G0009020000;Anti-collision systems
G08G0099000000;Subject matter not provided for in other groups of this subclass
G09;EDUCATING. CRYPTOGRAPHY. DISPLAY. ADVERTISING. SEALS
G09B;EDUCATIONAL OR DEMONSTRATION APPLIANCES. APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE. MODELS. PLANETARIA. GLOBES. MAPS. DIAGRAMS
G09B0001000000;Manually- or mechanically-operated educational appliances using elements forming or bearing symbols, signs, pictures, or the like which are arranged or adapted to be arranged in one or more particular ways
G09B0001020000;and having a support carrying or adapted to carry the elements
G09B0001040000;the elements each bearing a single symbol or a single combination of symbols
G09B0001060000;and being attachable to, or mounted on, the support
G09B0001080000;by means of magnets
G09B0001100000;by means of pins and holes
G09B0001120000;by means of ring-like securing elements
G09B0001140000;the elements being slidably mounted on the support
G09B0001160000;the elements each bearing a plurality of different symbols, signs, or combinations of symbols and signs, only one symbol, sign, or combination thereof, of each element to be used at a time
G09B0001180000;the elements being rotatable
G09B0001200000;and bearing the symbols on a surface parallel to the axis of rotation
G09B0001220000;and bearing the symbols on a surface perpendicular to the axis of rotation
G09B0001240000;the elements being in flexible-strip form, e.g. endless bands
G09B0001260000;the elements being arranged in fan form
G09B0001280000;the elements being slidable
G09B0001300000;wherein the elements are adapted to be arranged in co-operation with the support to form symbols
G09B0001320000;comprising elements to be used without a special support
G09B0001340000;the elements to be placed loosely in adjacent relationship
G09B0001360000;the elements being connectible by corresponding projections and recesses
G09B0001380000;the elements being connectible magnetically
G09B0001400000;to form symbols or signs by appropriate arrangement
G09B0003000000;Manually- or mechanically-operated teaching appliances working with questions and answers
G09B0003020000;of the type wherein the student is expected to construct an answer to the question which is presented or wherein the machine gives an answer to the question presented by the student
G09B0003040000;of chart form
G09B0003060000;of the multiple-choice answer type, i.e. where a given question is provided with a series of answers and a choice has to be made
G09B0003080000;of chart form
G09B0003100000;wherein one set of answers is common to a plurality of questions
G09B0003120000;of chart form
G09B0005000000;Electrically-operated educational appliances
G09B0005020000;with visual presentation of the material to be studied, e.g. using film strip
G09B0005040000;with audible presentation of the material to be studied
G09B0005060000;with both visual and audible presentation of the material to be studied
G09B0005080000;providing for individual presentation of information to a plurality of student stations
G09B0005100000;all student stations being capable of presenting the same information simultaneously (G09B0005140000 takes precedence)..
G09B0005120000;different stations being capable of presenting different information simultaneously (G09B0005140000 takes precedence)..
G09B0005140000;with provision for individual teacher-student communication
G09B0007000000;Electrically-operated teaching apparatus or devices working with questions and answers
G09B0007020000;of the type wherein the student is expected to construct an answer to the question which is presented or wherein the machine gives an answer to the question presented by the student
G09B0007040000;characterised by modifying the teaching programme in response to a wrong answer, e.g. repeating the question, supplying a further explanation
G09B0007060000;of the multiple-choice answer type, i.e. where a given question is provided with a series of answers and a choice has to be made from the answers
G09B0007070000;providing for individual presentation of questions to a plurality of student stations
G09B0007073000;all student stations being capable of presenting the same questions simultaneously
G09B0007077000;different stations being capable of presenting different questions simultaneously
G09B0007080000;characterised by modifying the teaching programme in response to a wrong answer, e.g. repeating the question, supplying further information
G09B0007100000;wherein a set of answers is common to a plurality of questions
G09B0007120000;characterised by modifying the teaching programme in response to a wrong answer, e.g. repeating the question, supplying further information
G09B0009000000;Simulators for teaching or training purposes
G09B0009020000;for teaching control of vehicles or other craft
G09B0009040000;for teaching control of land vehicles
G09B0009042000;providing simulation in a real vehicle (G09B0009052000, G09B0009058000 take precedence)..
G09B0009048000;a model being viewed and manoeuvred from a remote point (G09B0009052000, G09B0009058000 take precedence)..
G09B0009050000;the view from a vehicle being simulated (G09B0009052000, G09B0009058000 take precedence)..
G09B0009052000;characterised by provision for recording or measuring trainee's performance
G09B0009058000;for teaching control of cycles or motocycles
G09B0009060000;for teaching control of ships, boats, or other waterborne vehicles
G09B0009080000;for teaching control of aircraft, e.g. Link trainer
G09B0009100000;with simulated flight- or engine-generated force being applied to aircraft occupant (G09B0009280000 takes precedence)..
G09B0009120000;Motion systems for aircraft simulators
G09B0009140000;controlled by fluid actuated piston or cylinder ram
G09B0009160000;Ambient or aircraft conditions simulated or indicated by instrument or alarm
G09B0009180000;Condition of engine or fuel supply
G09B0009200000;Simulation or indication of aircraft attitude
G09B0009220000;including aircraft sound simulation
G09B0009240000;including display or recording of simulated flight path
G09B0009260000;Simulation of radio-navigation
G09B0009280000;Simulation of stick forces or the like
G09B0009300000;Simulation of view from aircraft
G09B0009320000;by projected image (G09B0009360000 takes precedence)..
G09B0009340000;by cathode-ray screen display (G09B0009360000 takes precedence)..
G09B0009360000;Simulation of night or reduced visibility flight
G09B0009380000;Simulation of runway outlining or approach lights
G09B0009400000;Simulation of airborne radar
G09B0009420000;Aircraft, aircraft simulator, or means connected thereto, travelling on the ground or water during simulated flight training
G09B0009440000;providing simulation in a real aircraft flying through the atmosphere without restriction of its path
G09B0009460000;the aircraft being a helicopter
G09B0009480000;a model being viewed and manoeuvred from a remote point
G09B0009500000;Automatically directing the course of the aircraft
G09B0009520000;for teaching control of an outer space vehicle
G09B0009540000;Simulation of radar (G09B0009400000 takes precedence)..
G09B0009560000;Simulation of sonar
G09B0011000000;Teaching hand-writing, shorthand, drawing, or painting
G09B0011020000;Finger, hand, or arm supporting devices
G09B0011040000;Guide sheets or plates. Tracing charts
G09B0011060000;Devices involving the use of transparent or translucent tracing material, e.g. copy books
G09B0011080000;Teaching shorthand
G09B0011100000;Teaching painting
G09B0013000000;Teaching typing
G09B0013020000;Dummy practice keyboard apparatus
G09B0013040000;Devices used in association with a real typewriter, teleprinter, or the like
G09B0015000000;Teaching music
G09B0015020000;Boards or like means for providing an indication of notes
G09B0015040000;with sound-emitters
G09B0015060000;Devices for exercising or strengthening fingers or arms. Devices for holding fingers or arms in a proper position for playing
G09B0015080000;Practice keyboards
G09B0017000000;Teaching reading
G09B0017020000;Line indicators or other guides or masks
G09B0017040000;for increasing the rate of reading. Reading rate control
G09B0019000000;Teaching not covered by other main groups of this subclass (teaching or practice apparatus for gun-aiming or gun-laying F41G0003260000)
G09B0019020000;Counting. Calculating
G09B0019040000;Speaking (with audible presentation of the material to be studied G09B0005040000)
G09B0019060000;Foreign languages (with audible presentation of the material to be studied G09B0005040000)
G09B0019080000;Printed or written appliances, e.g. textbooks, bilingual letter assemblies, charts
G09B0019100000;Modelling
G09B0019120000;Clock-reading
G09B0019140000;Traffic procedures, e.g. traffic regulations
G09B0019160000;Control of vehicles or other craft
G09B0019180000;Book-keeping or economics
G09B0019200000;Needlework
G09B0019220000;Games, e.g. card games
G09B0019240000;Use of tools
G09B0019260000;Dot-and-dash telegraph codes
G09B0021000000;Teaching, or communicating with, the blind, deaf or mute (audible presentation of material to be studied G09B0005040000)
G09B0021020000;Devices for Braille writing
G09B0021040000;Devices for conversing with the deaf-blind
G09B0021060000;Devices for teaching lip-reading
G09B0023000000;Models for scientific, medical, or mathematical purposes, e.g. full-sized device for demonstration purposes (in the nature of toys A63H)
G09B0023020000;for mathematics
G09B0023040000;for geometry, trigonometry, projection, or perspective (for surveying G09B0025060000)
G09B0023060000;for physics
G09B0023080000;for statics or dynamics
G09B0023100000;of solid bodies
G09B0023120000;of liquids or gases
G09B0023140000;for acoustics
G09B0023160000;for science of heat
G09B0023180000;for electricity or magnetism
G09B0023200000;for atomic physics or nucleonics
G09B0023220000;for optics
G09B0023240000;for chemistry
G09B0023260000;for molecular structures. for crystallography
G09B0023280000;for medicine
G09B0023300000;Anatomical models (dental articulators A61C0011000000)
G09B0023320000;with moving parts
G09B0023340000;with removable parts
G09B0023360000;for zoology
G09B0023380000;for botany
G09B0023400000;for geology
G09B0025000000;Models for purposes not provided for in group  G09B0023000000, e.g. full-sized devices for demonstration purposes(model vehicles, tracks therefor, models in the nature of toys A63H)
G09B0025020000;of industrial processes. of machinery
G09B0025040000;of buildings
G09B0025060000;for surveying. for geography, e.g. relief models (globes G09B0027000000. maps G09B0029000000)
G09B0025080000;of scenic effects, e.g. trees, rocks, water surfaces (for stage purposes A63J0001000000)
G09B0027000000;Planetaria. Globes
G09B0027020000;Tellurions. Orreries
G09B0027040000;Celestial maps
G09B0027060000;Celestial globes
G09B0027080000;Globes (celestial globes G09B0027060000)
G09B0029000000;Maps (celestial maps G09B0027040000). Plans. Charts. Diagrams, e.g. route diagrams
G09B0029020000;sectional
G09B0029040000;the sections being arranged in the form of a foldable sheet or sheets
G09B0029060000;of belt form, e.g. endless belt
G09B0029080000;Hanging maps or the like
G09B0029100000;Map spot or co-ordinate position indicators. Map-reading aids
G09B0029120000;Relief maps
G09B0029140000;Local-time charts
G09C;CIPHERING OR DECIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES INVOLVING THE NEED FOR SECRECY
G09C0001000000;Apparatus or methods whereby a given sequence of signs, e.g. an intelligible text, is transformed into an unintelligible sequence of signs by transposing the signs or groups of signs or by replacing them by others according to a predetermined system (cryptographic typewriters G09C0003000000)
